Elapsed time,Accuracy (%),Method
26.0,0.22478983205317318,Pisces
46.0,0.27642576585931977,Pisces
66.0,0.3280616996654664,Pisces
86.0,0.31092220686011846,Pisces
106.0,0.4666925904544783,Pisces
126.0,0.5115320966273178,Pisces
146.0,0.4885000019073486,Pisces
166.0,0.5419676186122592,Pisces
186.0,0.5510977773424179,Pisces
206.0,0.5659525239072665,Pisces
226.0,0.5865393167120778,Pisces
246.0,0.595101233438798,Pisces
266.0,0.6057777776025299,Pisces
286.0,0.6094529912777435,Pisces
306.0,0.6119231491221322,Pisces
326.0,0.6106797969211232,Pisces
346.0,0.6176944441904256,Pisces
366.0,0.6242119649903387,Pisces
386.0,0.6170055573233851,Pisces
406.0,0.6061361113826433,Pisces
426.0,0.6293111086294386,Pisces
446.0,0.6331876538692679,Pisces
466.0,0.6426609048980745,Pisces
486.0,0.6427523810598585,Pisces
506.0,0.6421661616176066,Pisces
526.0,0.6410588478170796,Pisces
546.0,0.6379555558610845,Pisces
566.0,0.6473707079270874,Pisces
586.0,0.6402555554717478,Pisces
606.0,0.637190910246878,Pisces
626.0,0.6343626279782767,Pisces
646.0,0.6259191938621829,Pisces
666.0,0.6464494952712396,Pisces
686.0,0.641523529624939,Pisces
706.0,0.6400101011603769,Pisces
726.0,0.6435474746116484,Pisces
746.0,0.6436969698164198,Pisces
766.0,0.6442121210435424,Pisces
786.0,0.6490636365986834,Pisces
806.0,0.6461659258969624,Pisces
826.0,0.6438800002776252,Pisces
846.0,0.6422995167363669,Pisces
866.0,0.6432177780327973,Pisces
886.0,0.6359140744986358,Pisces
906.0,0.634938562043508,Pisces
926.0,0.642643960968423,Pisces
946.0,0.6457251850975885,Pisces
966.0,0.6481287579922894,Pisces
986.0,0.6465483663976582,Pisces
1006.0,0.6482079361196548,Pisces
1026.0,0.644738011922892,Pisces
1046.0,0.6473846151629065,Pisces
1066.0,0.6460957267459642,Pisces
26.0,0.18695933740212278,Pisces
46.0,0.21461418373782018,Pisces
66.0,0.24226903007351758,Pisces
86.0,0.25884814268483053,Pisces
106.0,0.4191673180801416,Pisces
126.0,0.510657514158573,Pisces
146.0,0.5243111112495263,Pisces
166.0,0.5040811972927843,Pisces
186.0,0.5066575756554651,Pisces
206.0,0.5225472211976845,Pisces
226.0,0.5653111101362439,Pisces
246.0,0.5887833332812344,Pisces
266.0,0.5953021071060407,Pisces
286.0,0.6025856320102553,Pisces
306.0,0.6098691569144697,Pisces
326.0,0.6078828284913843,Pisces
346.0,0.6045777778241369,Pisces
366.0,0.6026333333796925,Pisces
386.0,0.6157814817561044,Pisces
406.0,0.626948485043073,Pisces
426.0,0.6129970764151792,Pisces
446.0,0.6302785714584683,Pisces
466.0,0.6290246032045002,Pisces
486.0,0.6324237546712502,Pisces
506.0,0.6314786328291282,Pisces
526.0,0.6340972219374444,Pisces
546.0,0.6439215685448616,Pisces
566.0,0.6359717177694494,Pisces
586.0,0.6240929289841893,Pisces
606.0,0.6385000001801385,Pisces
626.0,0.6334259238419709,Pisces
646.0,0.640297980187156,Pisces
666.0,0.6319262630973199,Pisces
686.0,0.6420574077857866,Pisces
706.0,0.6423615380686573,Pisces
726.0,0.6216203710635504,Pisces
746.0,0.640693939300017,Pisces
766.0,0.6447583332339922,Pisces
786.0,0.6377474070870435,Pisces
806.0,0.642103174643668,Pisces
826.0,0.6413957261346344,Pisces
846.0,0.6465000000741746,Pisces
866.0,0.642911110913312,Pisces
886.0,0.6469063491949959,Pisces
906.0,0.6452801584482193,Pisces
926.0,0.6522935897894395,Pisces
946.0,0.6501607844595816,Pisces
966.0,0.6451860082400679,Pisces
986.0,0.644782716058998,Pisces
1006.0,0.6489213674035846,Pisces
1026.0,0.6485705883468678,Pisces
1046.0,0.6481282827955304,Pisces
1066.0,0.6494638095092773,Pisces
1086.0,0.6500733333188011,Pisces
26.0,0.25899721507098933,Polaris
46.0,0.444505554467366,Polaris
66.0,0.4627711112096574,Polaris
86.0,0.5300250002909589,Polaris
106.0,0.5660481463485294,Polaris
126.0,0.5573858566091519,Polaris
146.0,0.5800292934364742,Polaris
166.0,0.5901121217351971,Polaris
186.0,0.5921444440417819,Polaris
206.0,0.5557777796836816,Polaris
226.0,0.5901646465624222,Polaris
246.0,0.6038814811494616,Polaris
266.0,0.5868121203586307,Polaris
286.0,0.6263575747253918,Polaris
306.0,0.6095848488171896,Polaris
326.0,0.6063949493085494,Polaris
346.0,0.6169555552601814,Polaris
366.0,0.6209444444378217,Polaris
386.0,0.626892929725936,Polaris
406.0,0.6298393941079727,Polaris
426.0,0.6333585856399151,Polaris
446.0,0.6265909096322879,Polaris
466.0,0.6404707065750853,Polaris
486.0,0.638828282737732,Polaris
506.0,0.6357454540883651,Polaris
526.0,0.6387129629810651,Polaris
546.0,0.6451212117975409,Polaris
566.0,0.6431444444656372,Polaris
586.0,0.6433586419485233,Polaris
606.0,0.6444820987386468,Polaris
626.0,0.6452999999894037,Polaris
646.0,0.6355696978660546,Polaris
666.0,0.6402161615222391,Polaris
686.0,0.6275666672918532,Polaris
706.0,0.6416070709334479,Polaris
726.0,0.6378888888518015,Polaris
746.0,0.6336363638762271,Polaris
766.0,0.6380730156285422,Polaris
786.0,0.6424814815157431,Polaris
26.0,0.24076867591106524,Polaris
46.0,0.5002851837680957,Polaris
66.0,0.454512867424502,Polaris
86.0,0.5265141393858976,Polaris
106.0,0.5630333344724443,Polaris
126.0,0.5790999983715288,Polaris
146.0,0.5910222229056888,Polaris
166.0,0.6019797966990807,Polaris
186.0,0.6192494951537161,Polaris
206.0,0.6064919195960267,Polaris
226.0,0.6160515156471368,Polaris
246.0,0.6158777773715831,Polaris
266.0,0.6273972234695048,Polaris
286.0,0.6332666653917292,Polaris
306.0,0.6296393938242787,Polaris
326.0,0.6265848483254212,Polaris
346.0,0.6251949501206177,Polaris
366.0,0.6255959587453591,Polaris
386.0,0.6325767673275687,Polaris
406.0,0.6347585861037477,Polaris
426.0,0.6344962957064311,Polaris
446.0,0.6306070703164495,Polaris
466.0,0.6239838379431253,Polaris
486.0,0.6308434346935966,Polaris
506.0,0.6332272722634401,Polaris
526.0,0.6365252524250685,Polaris
546.0,0.635298989756902,Polaris
566.0,0.6419333328097758,Polaris
586.0,0.6392636360953553,Polaris
606.0,0.6386314814770663,Polaris
626.0,0.6326222218672435,Polaris
646.0,0.6369825397839622,Polaris
666.0,0.6315357139697151,Polaris
686.0,0.6379999999783256,Polaris
706.0,0.6399555555537895,Polaris
726.0,0.6376196586792285,Polaris
26.0,0.14566453516111302,FedBuff
46.0,0.25320590631950546,FedBuff
66.0,0.36074727747789787,FedBuff
86.0,0.30872733705451344,FedBuff
106.0,0.4900935464920536,FedBuff
126.0,0.5378754227049825,FedBuff
146.0,0.4867171735467333,FedBuff
166.0,0.47676696511224226,FedBuff
186.0,0.5286288269741042,FedBuff
206.0,0.5797547600978898,FedBuff
226.0,0.5753904045428893,FedBuff
246.0,0.5799267970018138,FedBuff
266.0,0.5914396815973615,FedBuff
286.0,0.5991095969259137,FedBuff
306.0,0.5836107836318951,FedBuff
326.0,0.6026761431090193,FedBuff
346.0,0.6148698410348287,FedBuff
366.0,0.6235940741975219,FedBuff
386.0,0.6175230773587512,FedBuff
406.0,0.605340741176415,FedBuff
426.0,0.606615052824123,FedBuff
446.0,0.6328802857990334,FedBuff
466.0,0.6356637677831927,FedBuff
486.0,0.6449681156092796,FedBuff
506.0,0.6578408607457273,FedBuff
526.0,0.643002151068308,FedBuff
546.0,0.6509565209112306,FedBuff
566.0,0.6529638897412353,FedBuff
586.0,0.6501483867927265,FedBuff
26.0,0.19892434806136094,FedBuff
46.0,0.24982742134741293,FedBuff
66.0,0.3007304946334649,FedBuff
86.0,0.32935041369454476,FedBuff
106.0,0.49133620016566315,FedBuff
126.0,0.504776768535797,FedBuff
146.0,0.48075656651559495,FedBuff
166.0,0.4768621612218049,FedBuff
186.0,0.5031564555160992,FedBuff
206.0,0.5356706335758407,FedBuff
226.0,0.5527217166916288,FedBuff
246.0,0.5580336600374552,FedBuff
266.0,0.5618142847821825,FedBuff
286.0,0.5898353524032265,FedBuff
306.0,0.6129372549935883,FedBuff
326.0,0.6103751634903204,FedBuff
346.0,0.6252595227667264,FedBuff
