round,elapsed_time,accuracy
1,70.00000047683716,93.28735662783723
2,240.00000047683716,64.01465084556321
3,350.00000047683716,53.22849524151687
4,420.00000047683716,61.19754852641167
5,590.0000004768372,44.089356528783874
6,700.0000004768372,40.90027627566305
7,850.0000004768372,38.87793457411008
8,940.0000004768372,35.89574835785095
9,1050.0000004768372,33.97432871784508
10,1200.0000004768372,32.95103050678952
11,1290.0000004768372,32.17745433127451
12,1400.0000004768372,30.541290109214433
13,1550.0000004768372,29.149957393228487
14,1630.0000004768372,28.577096670464105
15,1700.0000004768372,28.124573496235257
16,1780.0000004768372,27.551565307868078
17,1980.0000004768372,26.67074282255415
18,2130.000000476837,26.45087022939266
19,2330.000000476837,25.80283134947779
20,2415.000000476837,25.228821492776504
21,2480.000000476837,24.79890983804195
22,2545.000000476837,24.510069754647155
23,2630.000000476837,23.838321927197363
24,2765.000000476837,23.816535670627083
25,2915.000000476837,23.899355451581982
26,2980.000000476837,23.411315209297587
27,3115.000000476837,23.11163742032681
28,3265.000000476837,22.99273023303659
29,3345.000000476837,22.75722004449151
30,3465.000000476837,22.625092154009916
31,3615.000000476837,22.502614149702318
32,3695.000000476837,22.31823681312547
33,3815.000000476837,22.19136109994387
34,3965.000000476837,21.88001000519967
35,4070.000000476837,22.147517011144465
36,4165.000000476837,21.847618048033304
37,4400.000000476837,21.719279889795896
38,4515.000000476837,21.567719908001223
39,4750.000000476837,21.59122202268488
40,4805.000000476837,21.851280196198267
41,4880.000000476837,21.512558787039882
42,5090.000000476837,21.53564650994475
43,5155.000000476837,21.34547242995532
44,5230.000000476837,21.552812841180252
45,5430.000000476837,21.408467185609368
46,5495.000000476837,21.554637118190985
47,5565.000000476837,21.149927073888325
48,5690.000000476837,21.40392495060944
49,5830.000000476837,21.348836627952036
50,5915.000000476837,21.238720378280355
