round,accuracy,elapsed_time
1,0.12953333333333333,23.000000715255737
2,0.38225555555555557,70.00000071525574
3,0.21524444444444443,81.00000071525574
4,0.4583,94.00000071525574
5,0.5404333333333333,125.00000071525574
6,0.4560222222222222,158.00000071525574
7,0.5519666666666667,195.00000071525574
8,0.5873333333333334,209.00000071525574
9,0.5718777777777778,231.00000071525574
10,0.5901222222222222,265.00000071525574
11,0.6085666666666667,279.00000071525574
12,0.5788444444444445,301.00000071525574
13,0.6112555555555556,335.00000071525574
14,0.6158555555555556,349.00000071525574
15,0.6237666666666667,365.00000071525574
16,0.6211777777777778,380.00000071525574
17,0.5974222222222222,419.00000071525574
18,0.6381333333333333,450.00000071525574
19,0.6347333333333334,464.00000071525574
20,0.6454333333333333,487.00000071525574
21,0.6600666666666667,503.00000071525574
22,0.6370666666666667,534.0000007152557
23,0.6636888888888889,557.0000007152557
24,0.6446222222222222,573.0000007152557
25,0.6578,604.0000007152557
