round,accuracy,elapsed_time,comm_time,round_time
1,0.14628888888888888,23.000000476837158,0,23
2,0.2853777777777778,70.00000047683716,0,70
3,0.18366666666666667,83.00000047683716,0,70
4,0.43154444444444445,109.00000047683716,0,70
5,0.4947888888888889,140.00000047683716,0,70
6,0.5202888888888889,153.00000047683716,0,70
7,0.5239222222222222,167.00000047683716,0,70
8,0.5598222222222222,210.00000047683716,0,70
9,0.5608111111111111,237.00000047683716,0,70
10,0.5601222222222222,249.00000047683716,0,70
11,0.5838333333333333,288.00000047683716,0,70
12,0.6067444444444444,307.00000047683716,0,70
13,0.5871222222222222,319.00000047683716,0,70
14,0.6168666666666667,358.00000047683716,0,70
15,0.6033,377.00000047683716,0,70
16,0.6391666666666667,410.00000047683716,0,70
17,0.6381555555555556,428.00000047683716,0,70
18,0.6314888888888889,480.00000047683716,0,70
19,0.5929,497.00000047683716,0,70
20,0.6181777777777778,518.0000004768372,0,70
21,0.665,550.0000004768372,0,70
22,0.6703111111111111,565.0000004768372,0,70
23,0.6484666666666666,580.0000004768372,0,70
24,0.6512,592.0000004768372,0,70
25,0.6195,635.0000004768372,0,70
26,0.6406444444444445,647.0000004768372,0,70
27,0.6692111111111111,660.0000004768372,0,70
28,0.6601666666666667,684.0000004768372,0,70
29,0.6491555555555556,705.0000004768372,0,70
30,0.6658222222222222,730.0000004768372,0,70
