Polaris,Pisces,Oort,FedBuff
0.0,0.0,0.0,0.0
5.956112852664576,2.96875,0.967741935483871,1.3846153846153846
9.561128526645767,5.0,1.935483870967742,2.769230769230769
12.38244514106583,6.5625,2.903225806451613,4.0
14.89028213166144,8.125,3.870967741935484,5.230769230769231
17.39811912225705,9.375,4.838709677419355,6.3076923076923075
19.59247648902821,10.625,5.806451612903226,7.384615384615384
21.786833855799372,11.875,6.774193548387097,8.307692307692307
23.824451410658305,13.125,7.741935483870968,9.23076923076923
25.86206896551724,14.21875,8.70967741935484,10.153846153846153
27.742946708463947,15.3125,9.677419354838712,11.076923076923077
29.623824451410655,16.40625,10.322580645161292,12.0
31.504702194357364,17.5,10.967741935483872,12.923076923076923
33.22884012539185,18.4375,11.612903225806452,13.846153846153847
34.79623824451411,19.375,12.258064516129032,14.76923076923077
36.36363636363637,20.3125,12.903225806451612,15.692307692307693
37.7742946708464,21.25,13.548387096774192,16.615384615384617
39.18495297805643,22.1875,14.193548387096772,17.384615384615387
40.59561128526646,23.125,14.838709677419352,18.153846153846157
41.84952978056426,24.0625,15.483870967741932,18.923076923076927
43.103448275862064,24.84375,16.129032258064512,19.692307692307697
44.35736677115987,25.625,16.774193548387093,20.461538461538467
45.61128526645767,26.40625,17.419354838709673,21.230769230769237
46.865203761755474,27.1875,18.064516129032253,22.000000000000007
47.96238244514105,27.96875,18.709677419354833,22.769230769230777
49.05956112852663,28.75,19.354838709677413,23.538461538461547
50.15673981191221,29.53125,19.999999999999993,24.307692307692317
51.25391849529779,30.3125,20.645161290322573,25.076923076923087
52.19435736677114,31.09375,21.290322580645153,25.846153846153857
53.1347962382445,31.875,21.935483870967733,26.615384615384627
54.07523510971785,32.65625,22.580645161290313,27.384615384615397
55.015673981191206,33.4375,23.225806451612893,28.153846153846168
55.95611285266456,34.21875,23.870967741935473,28.923076923076938
56.73981191222569,35.0,24.516129032258053,29.692307692307708
57.52351097178682,35.625,25.161290322580633,30.461538461538478
58.30721003134795,36.25,25.806451612903214,31.230769230769248
59.09090909090908,36.875,26.451612903225794,32.000000000000014
59.87460815047021,37.5,27.096774193548374,32.76923076923078
60.65830721003134,38.125,27.741935483870954,33.53846153846155
61.44200626959247,38.75,28.387096774193534,34.307692307692314
62.2257053291536,39.375,29.032258064516114,35.07692307692308
63.00940438871473,40.0,29.677419354838694,35.84615384615385
63.79310344827586,40.625,30.322580645161274,36.61538461538461
64.57680250783699,41.25,30.967741935483854,37.230769230769226
65.36050156739812,41.875,31.612903225806434,37.84615384615384
66.14420062695925,42.5,32.25806451612902,38.46153846153845
66.77115987460814,43.125,32.9032258064516,39.076923076923066
67.39811912225704,43.75,33.548387096774185,39.69230769230768
68.02507836990594,44.375,34.19354838709677,40.30769230769229
68.65203761755484,45.0,34.83870967741935,40.923076923076906
69.27899686520374,45.625,35.483870967741936,41.53846153846152
69.90595611285264,46.25,36.12903225806452,42.15384615384613
70.53291536050153,46.875,36.7741935483871,42.769230769230745
71.15987460815043,47.5,37.41935483870969,43.38461538461536
71.63009404388711,48.125,38.06451612903227,43.99999999999997
72.1003134796238,48.75,38.709677419354854,44.615384615384585
72.57053291536047,49.21875,39.35483870967744,45.2307692307692
73.04075235109715,49.6875,40.00000000000002,45.84615384615381
73.51097178683384,50.15625,40.645161290322605,46.461538461538424
73.98119122257052,50.625,41.29032258064519,47.07692307692304
74.4514106583072,51.09375,41.93548387096777,47.69230769230765
74.92163009404388,51.5625,42.580645161290356,48.307692307692264
75.39184952978056,52.03125,43.22580645161294,48.92307692307688
75.705329153605,52.5,43.87096774193552,49.53846153846149
76.01880877742946,52.96875,44.51612903225811,50.153846153846104
76.3322884012539,53.4375,45.16129032258069,50.76923076923072
76.64576802507835,53.90625,45.806451612903274,51.38461538461533
76.9592476489028,54.375,46.45161290322586,51.99999999999994
77.27272727272725,54.84375,47.09677419354844,52.615384615384556
77.5862068965517,55.3125,47.741935483871025,53.23076923076917
77.89968652037615,55.78125,48.38709677419361,53.84615384615378
78.2131661442006,56.25,49.03225806451619,54.461538461538396
78.52664576802505,56.71875,49.677419354838776,55.07692307692301
78.8401253918495,57.1875,50.32258064516136,55.69230769230762
79.15360501567395,57.65625,50.96774193548394,56.307692307692236
79.4670846394984,58.125,51.61290322580653,56.92307692307685
79.78056426332284,58.59375,52.25806451612911,57.53846153846146
80.0940438871473,59.0625,52.903225806451694,58.153846153846075
80.40752351097174,59.53125,53.54838709677428,58.76923076923069
80.72100313479619,60.0,54.19354838709686,59.3846153846153
81.03448275862064,60.46875,54.838709677419445,59.999999999999915
81.34796238244509,60.9375,55.48387096774203,60.61538461538453
81.66144200626954,61.40625,56.12903225806461,61.23076923076914
81.97492163009399,61.875,56.774193548387196,61.846153846153754
82.28840125391844,62.34375,57.41935483870978,62.46153846153837
82.60188087774289,62.8125,58.06451612903236,63.07692307692298
82.91536050156733,63.28125,58.709677419354946,63.692307692307594
83.22884012539178,63.75,59.35483870967753,64.30769230769221
83.54231974921623,64.21875,60.000000000000114,64.76923076923067
83.85579937304068,64.6875,60.6451612903227,65.23076923076914
84.01253918495291,65.15625,61.29032258064528,65.69230769230761
84.16927899686515,65.625,61.935483870967865,66.15384615384608
84.32601880877738,66.09375,62.58064516129045,66.61538461538454
84.48275862068961,66.5625,63.22580645161303,67.07692307692301
84.63949843260184,67.03125,63.870967741935615,67.53846153846148
84.79623824451407,67.5,64.51612903225819,67.99999999999994
84.9529780564263,67.96875,65.16129032258077,68.46153846153841
85.10971786833854,68.4375,65.80645161290334,68.92307692307688
