round,elapsed_time,accuracy
1,115.00000095367432,90.68465103207855
2,350.0000009536743,67.35320217975294
3,420.0000009536743,64.90177204150656
4,480.0000009536743,51.36290433491308
5,650.0000009536743,42.55445864490042
6,770.0000009536743,39.41746055655643
7,830.0000009536743,38.66858943406363
8,1000.0000009536743,35.04108314601832
9,1120.0000009536743,33.17537646762563
10,1180.0000009536743,32.198335807536644
11,1255.0000009536743,30.85687797516188
12,1530.0000009536743,30.163897879978254
13,1590.0000009536743,28.97960100365637
14,1645.0000009536743,28.31765198848574
15,1825.0000009536743,27.166511649413906
16,1885.0000009536743,26.531582337719637
17,1955.0000009536743,26.09915785096803
18,2010.0000009536743,25.704613374912025
19,2085.0000009536743,25.03935959924131
20,2175.0000009536743,24.53730462441063
21,2235.0000009536743,24.297556868502202
22,2360.0000009536743,24.006684893585625
23,2435.0000009536743,23.62065483999708
24,2585.0000009536743,23.41172825818681
25,2710.0000009536743,23.115461845883182
26,2775.0000009536743,22.939775908541794
27,2840.0000009536743,22.707763946973568
28,2895.0000009536743,22.471121954251423
29,2950.0000009536743,22.41450534151414
30,3005.0000009536743,22.25787640998951
31,3060.0000009536743,22.17614988056392
32,3115.0000009536743,22.107754527091267
33,3125.0000009536743,21.98115298780697
34,3175.0000009536743,21.920303570534198
35,3190.0000009536743,21.91919041657382
36,3230.0000009536743,21.933446194865855
37,3280.0000009536743,21.865627349164715
38,3335.0000009536743,21.799151188176882
39,3350.0000009536743,21.799395463710155
40,3395.0000009536743,21.726665372267714
41,3450.0000009536743,21.764268710783387
42,3505.0000009536743,21.5754396490839
43,3560.0000009536743,21.71820801231707
44,3580.0000009536743,21.74501564126658
45,3635.0000009536743,21.662486404480155
46,3690.0000009536743,21.73154551859081
47,3745.0000009536743,21.743812890081077
48,3800.0000009536743,21.96261915518263
49,3855.0000009536743,22.0930852120731
50,3910.0000009536743,22.27092407993329
51,3930.0000009536743,22.077272865180774
52,3975.0000009536743,22.262329169297903
53,4030.0000009536743,22.28094061848241
54,4085.0000009536743,22.214351087173902
55,4140.000000953674,22.265269858602444
56,4195.000000953674,22.397587172224522
57,4250.000000953674,22.47955093408033
58,4305.000000953674,22.61453269243528
59,4325.000000953674,22.178820080411526
60,4370.000000953674,22.625227010469906
61,4425.000000953674,22.765555513555714
62,4480.000000953674,22.94653692088696
63,4540.000000953674,22.746794153359414
64,4595.000000953674,22.84971024482517
65,4650.000000953674,23.105929512757495
66,4705.000000953674,23.386891308510574
67,4760.000000953674,23.53020470796944
68,4815.000000953674,23.43986062828433
69,4865.000000953674,23.06332457824743
70,4900.000000953674,23.38454398530246
71,4955.000000953674,23.95503888944758
72,5010.000000953674,23.955844199996715
73,5030.000000953674,23.523782091183623
74,5085.000000953674,24.002798856784846
75,5140.000000953674,23.42125273047889
76,5160.000000953674,23.99147627874435
77,5215.000000953674,23.98427586223997
78,5270.000000953674,23.905265060329743
79,5325.000000953674,23.8297072998931
80,5380.000000953674,23.553486656042352
81,5395.000000953674,23.716642914681177
82,5450.000000953674,24.15385969509847
83,5490.000000953674,23.605082961322527
84,5545.000000953674,25.092894650928894
85,5595.000000953674,23.706958753908722
86,5605.000000953674,25.31669722881516
87,5660.000000953674,25.8345822365988
88,5680.000000953674,24.423631238609964
89,5730.000000953674,24.832249283583334
90,5760.000000953674,24.484079275329012
91,5815.000000953674,25.84379224725079
92,5835.000000953674,24.67829306884112
93,5890.000000953674,25.58317160898078
94,5945.000000953674,25.819834578237586
95,6005.000000953674,26.180981365349634
96,6065.000000953674,26.366065849367757
97,6120.000000953674,26.954412541430273
98,6175.000000953674,27.546573468297638
99,6230.000000953674,27.693355284065632
100,6285.000000953674,26.921028634661617
