elapsed_time,accuracy,method
115.00000047683716,0.01,pisces
165.00000047683716,0.010659574468085107,pisces
215.00000047683716,0.011319148936170212,pisces
265.00000047683716,0.011978723404255319,pisces
315.00000047683716,0.012638297872340425,pisces
365.00000047683716,0.013224999999999999,pisces
415.00000047683716,0.018891666666666605,pisces
465.00000047683716,0.07180833333333328,pisces
515.0000004768372,0.09909999999999998,pisces
565.0000004768372,0.12354444444444443,pisces
615.0000004768372,0.1479888888888889,pisces
665.0000004768372,0.16793636363636363,pisces
715.0000004768372,0.1773909090909091,pisces
765.0000004768372,0.18666923076923078,pisces
815.0000004768372,0.19436153846153845,pisces
865.0000004768372,0.2072142857142857,pisces
915.0000004768372,0.22135714285714286,pisces
965.0000004768372,0.23550000000000001,pisces
1015.0000004768372,0.24780000000000002,pisces
1065.0000004768372,0.2558,pisces
1115.0000004768372,0.2647846153846154,pisces
1165.0000004768372,0.28263076923076924,pisces
1215.0000004768372,0.2943777777777778,pisces
1265.0000004768372,0.30460000000000004,pisces
1315.0000004768372,0.3139255813953489,pisces
1365.0000004768372,0.3151813953488372,pisces
1415.0000004768372,0.3164372093023256,pisces
1465.0000004768372,0.31769302325581394,pisces
1515.0000004768372,0.31894883720930234,pisces
1565.0000004768372,0.3318117647058823,pisces
1615.0000004768372,0.3473,pisces
1665.0000004768372,0.3603,pisces
1715.0000004768372,0.3649388888888889,pisces
1765.0000004768372,0.3695777777777778,pisces
1815.0000004768372,0.3742166666666667,pisces
1865.0000004768372,0.37942666666666675,pisces
1915.0000004768372,0.3854933333333334,pisces
1965.0000004768372,0.39619285714285724,pisces
2015.0000004768372,0.40470909090909096,pisces
2065.000000476837,0.4104545454545455,pisces
2115.000000476837,0.4159833333333333,pisces
2165.000000476837,0.4212611111111111,pisces
2215.000000476837,0.4269,pisces
2265.000000476837,0.43104827586206895,pisces
2315.000000476837,0.4308758620689655,pisces
2365.000000476837,0.43070344827586204,pisces
2415.000000476837,0.43178518518518516,pisces
2465.000000476837,0.43474814814814816,pisces
2515.000000476837,0.4377111111111111,pisces
2565.000000476837,0.44115,pisces
2615.000000476837,0.44428965517241376,pisces
2665.000000476837,0.4462551724137931,pisces
2715.000000476837,0.4482206896551724,pisces
2765.000000476837,0.4502333333333334,pisces
2815.000000476837,0.4513666666666667,pisces
2865.000000476837,0.44870000000000004,pisces
2915.000000476837,0.45193846153846157,pisces
2965.000000476837,0.45492727272727274,pisces
3015.000000476837,0.4559818181818182,pisces
3065.000000476837,0.46144615384615384,pisces
3115.000000476837,0.46367692307692304,pisces
3165.000000476837,0.46735,pisces
3215.000000476837,0.4707,pisces
3265.000000476837,0.47325454545454543,pisces
3315.000000476837,0.47412727272727273,pisces
3365.000000476837,0.47388,pisces
3415.000000476837,0.47468,pisces
3465.000000476837,0.47520454545454544,pisces
3515.000000476837,0.47554545454545455,pisces
3565.000000476837,0.4758863636363636,pisces
3615.000000476837,0.4762272727272727,pisces
3665.000000476837,0.47745,pisces
3715.000000476837,0.4822,pisces
