Elapsed_time,Accuracy
120.0,0.010065957440518318
170.0,0.010725531908603425
220.0,0.011385106376688532
270.0,0.012044680844773637
320.0,0.012704255312858743
370.0,0.013266666662693024
420.0,0.024183332828680612
470.0,0.0770999994953473
520.0,0.10154444421132403
570.0,0.1259888886557685
620.0,0.15043333310021292
670.0,0.16888181809165262
720.0,0.17833636354619806
770.0,0.18743846146510199
820.0,0.19513076915740965
870.0,0.20862857129369464
920.0,0.2227714284365518
970.0,0.2369142855794089
1020.0,0.24859999992370607
1070.0,0.2565999999237061
1120.0,0.2665692305990366
1170.0,0.28441538444519043
1220.0,0.2953999999025133
1270.0,0.30562222212473555
1320.0,0.3140511627787213
1370.0,0.3153069767322097
1420.0,0.31656279068569804
1470.0,0.31781860463918643
1520.0,0.31907441859267477
1570.0,0.3333882351437737
1620.0,0.3485999998760223
1670.0,0.360763888844649
1720.0,0.3654027777335379
1770.0,0.3700416666224268
1820.0,0.3746805555113157
1870.0,0.38003333327547717
1920.0,0.38609999994214383
1970.0,0.39731428560733806
2020.0,0.40529090903542264
2070.0,0.4110181817644293
2120.0,0.4165111110607783
2170.0,0.4217888888385561
2220.0,0.42749999994277954
2270.0,0.4310310344844029
2320.0,0.43085862069129943
2370.0,0.430686206898196
2420.0,0.43208148145322445
2470.0,0.4350444444161874
2520.0,0.4380074073791504
2570.0,0.4415142856795447
2620.0,0.4444862068778071
2670.0,0.4464517241191864
2720.0,0.4484172413605657
2770.0,0.45044166664679847
2820.0,0.4511000000254313
2870.0,0.4484333333587647
2920.0,0.45251538456036494
2970.0,0.45480909092036165
3020.0,0.45660909084926954
3070.0,0.4616692307479565
3120.0,0.4638999999787257
3170.0,0.46773333329677586
3220.0,0.4710142856843131
3270.0,0.47337272726145657
3320.0,0.474090909094377
3370.0,0.4739599999923706
3420.0,0.47475999999237056
3470.0,0.47523863636038516
3520.0,0.47557954545129427
3570.0,0.4759204545422034
3620.0,0.47626136363311244
3670.0,0.47792499995470045
3720.0,0.4815384616015508
3770.0,0.47492307698616615
3820.0,0.4758799999728203
3870.0,0.4787299999728203
3920.0,0.4804839999858856
3970.0,0.4819639999858856
4020.0,0.48332499998966855
4070.0,0.48447857141154155
4120.0,0.4862642856972558
4170.0,0.4865625000032357
4220.0,0.48622321428895
4270.0,0.4858839285746643
4320.0,0.4855446428603785
4370.0,0.4852053571460928
4420.0,0.4850749999833107
4470.0,0.4868249999833107
4520.0,0.48945454542853617
4570.0,0.49029090908744116
4620.0,0.49190769228715164
4670.0,0.4916666667032242
4720.0,0.4890782608467599
4770.0,0.491469565194586
4820.0,0.4938608695424121
4870.0,0.4940181818190488
4920.0,0.49479999999046326
4970.0,0.4955454545393857
5020.0,0.4962909090831063
5070.0,0.4978363636146892
5120.0,0.49930909090648995
5170.0,0.5002249999769529
5220.0,0.5021812500208616
5270.0,0.4999937500208616
5320.0,0.4987846153868162
5370.0,0.49814545456712894
5420.0,0.49664545449343594
5470.0,0.5020999999479814
5520.0,0.49937272729873655
5570.0,0.5048272726665843
5620.0,0.5051545454658162
5670.0,0.5050545454510775
5720.0,0.5034600000276566
5770.0,0.5027909090831063
5820.0,0.5032454545445876
5870.0,0.5040999999809265
5920.0,0.5057999999952316
5970.0,0.5062999999952316
6020.0,0.5064818181800842
6070.0,0.503718181847659
6120.0,0.5090636362925443
6170.0,0.5110454545489225
6220.0,0.5085909090675007
6270.0,0.5107272727342086
6320.0,0.5100000000069358
6370.0,0.5100909090900421
6420.0,0.5090363636476344
6470.0,0.5081454545532573
6520.0,0.5089181818043101
