round,elapsed_time,accuracy
1,65.00000047683716,93.5597663882434
2,125.00000047683716,66.94007506970722
3,185.00000047683716,54.09996402550535
4,255.00000047683716,46.14918852474433
5,315.00000047683716,42.43491688295938
6,370.00000047683716,47.19550200818558
7,425.00000047683716,37.80981019014522
8,480.00000047683716,36.58502263031052
9,535.0000004768372,33.72795429312909
10,590.0000004768372,33.306126458701215
11,645.0000004768372,33.01116119118813
12,705.0000004768372,31.459451867901393
13,810.0000004768372,30.259114050953226
14,915.0000004768372,29.649374032618827
15,970.0000004768372,29.387115940791976
16,1030.0000004768372,28.684320812363318
17,1085.0000004768372,28.370910220044802
18,1140.0000004768372,27.502946548020585
19,1195.0000004768372,27.289359344111265
20,1260.0000004768372,26.729894295260507
21,1320.0000004768372,26.784157215418816
22,1380.0000004768372,26.38831566611146
23,1490.0000004768372,26.25759559525941
24,1545.0000004768372,26.21233512718899
25,1600.0000004768372,25.895817978476522
26,1655.0000004768372,25.847452520724154
27,1710.0000004768372,26.053077229984826
28,1765.0000004768372,25.68926617255859
29,1820.0000004768372,25.599120680353987
30,1875.0000004768372,25.28853698948248
31,1930.0000004768372,25.554842912590022
32,1985.0000004768372,25.801195002779373
33,2040.0000004768372,25.86205563742362
34,2095.000000476837,26.275712886639916
35,2150.000000476837,25.75494658333101
36,2205.000000476837,25.53608413303693
37,2260.000000476837,25.54479185331101
38,2315.000000476837,24.92441214554058
39,2390.000000476837,25.396049484886447
40,2445.000000476837,25.73960001299664
41,2500.000000476837,25.758029277605353
42,2555.000000476837,26.06457732356566
43,2610.000000476837,26.330924510021188
44,2665.000000476837,26.3910966400487
