round,accuracy,elapsed_time,round_time,round_time
1,0.1,55.25205111503601,55.252050606659715,55.252050606659715
2,0.1,105.44448828697205,100.33147840807555,100.33147840807555
3,0.1,124.96034550666809,124.19961666879001,124.19961666879001
4,0.1,175.50815510749817,64.98867127872464,64.98867127872464
5,0.1003,221.7092089653015,96.74886348211058,96.74886348211058
6,0.1247,271.75639295578003,72.63792658854581,72.63792658854581
7,0.2229,322.6012394428253,119.17898297790778,119.17898297790778
8,0.1903,373.88621735572815,88.83738408112158,88.83738408112158
9,0.2411,423.9876341819763,197.79459791770194,197.79459791770194
10,0.233,474.06387424468994,145.3534835994672,145.3534835994672
11,0.305,524.9087207317352,59.45660569653082,59.45660569653082
12,0.2777,575.261816740036,143.0705996004007,143.0705996004007
13,0.3482,625.3551917076111,202.537751584468,202.537751584468
14,0.3012,676.078173160553,124.19961666879001,124.19961666879001
15,0.3783,726.1489179134369,81.64127182629446,81.64127182629446
16,0.4132,776.7189209461212,95.66289169047135,95.66289169047135
17,0.4347,831.2817282676697,92.44132946377043,92.44132946377043
18,0.4425,881.5635814666748,69.50583276845884,69.50583276845884
19,0.429,935.3911454677582,350.0,350.0
20,0.4161,981.686243057251,260.13842185392105,260.13842185392105
21,0.4174,1033.1381886005402,77.19774206756809,77.19774206756809
22,0.4768,1083.8919076919556,97.85525889943824,97.85525889943824
23,0.4698,1134.7367541790009,111.49640961356394,111.49640961356394
24,0.4866,1177.751671075821,144.61348246213947,144.61348246213947
25,0.5111,1230.4309635162354,57.10165410718204,57.10165410718204
26,0.5201,1268.631208896637,96.74886348211058,96.74886348211058
27,0.5265,1295.0879254341125,64.65696185390131,64.65696185390131
28,0.5548,1345.233580827713,73.80300433610749,73.80300433610749
29,0.5493,1395.3098208904266,86.02309511668781,86.02309511668781
30,0.5734,1448.376173734665,101.03674380548021,101.03674380548021
31,0.5846,1498.999783039093,163.73531731823215,163.73531731823215
32,0.6145,1549.7806589603424,70.27308631288804,70.27308631288804
33,0.5899,1600.3284685611725,112.73363094023833,112.73363094023833
34,0.6222,1652.9428315162659,64.75804266240931,64.75804266240931
35,0.632,1704.2733397483826,350.0,350.0
36,0.6346,1754.6611213684082,211.77779119989435,211.77779119989435
37,0.6367,1805.38410282135,147.44597025644123,147.44597025644123
38,0.6577,1857.3328323364258,145.3534835994672,145.3534835994672
39,0.6586,1903.4680104255676,260.13842185392105,260.13842185392105
40,0.6426,1954.998512506485,71.24543680208109,71.24543680208109
41,0.6795,2007.7589349746704,109.95576266408058,109.95576266408058
42,0.684,2057.9621453285217,141.0987948830406,141.0987948830406
43,0.6791,2108.4708075523376,197.79459791770194,197.79459791770194
44,0.692,2159.2181227207184,111.49640961356394,111.49640961356394
45,0.7006,2209.2201335430145,147.44597025644123,147.44597025644123
46,0.7036,2259.363020181656,70.37597519039613,70.37597519039613
47,0.7197,2310.214793920517,77.19774206756809,77.19774206756809
48,0.6905,2360.496647119522,104.81280009022373,104.81280009022373
49,0.7109,2407.9621453285217,350.0,350.0
50,0.7272,2458.165355682373,84.98773015077226,84.98773015077226
51,0.7269,2495.7408125400543,135.2441653207223,135.2441653207223
52,0.7167,2545.8358206748962,72.63792658854581,72.63792658854581
53,0.738,2596.8586864471436,109.95576266408058,109.95576266408058
54,0.7434,2650.08198428154,143.0705996004007,143.0705996004007
55,0.733,2700.865191936493,168.25690413345262,168.25690413345262
56,0.7434,2751.1838750839233,144.61348246213947,144.61348246213947
57,0.7616,2765.6375443935394,104.81280009022373,104.81280009022373
58,0.7485,2816.406776189804,65.22290116364458,65.22290116364458
59,0.7548,2866.688629388809,86.02309511668781,86.02309511668781
60,0.7622,2918.9411787986755,64.75804266240931,64.75804266240931
61,0.7615,2969.6641602516174,90.87953774468613,90.87953774468613
62,0.764,3020.9491381645203,242.9443154653758,242.9443154653758
63,0.7621,3072.6792409420013,63.64283231756601,63.64283231756601
64,0.7575,3124.530510663986,350.0,350.0
65,0.7569,3179.3647673130035,80.72141690395256,80.72141690395256
66,0.7755,3231.5315058231354,80.58448390400947,80.58448390400947
67,0.7698,3285.66982626915,260.13842185392105,260.13842185392105
68,0.7847,3338.306882381439,350.0,350.0
69,0.7877,3388.7321524620056,126.8149533000753,126.8149533000753
70,0.7765,3440.8775446414948,71.24543680208109,71.24543680208109
71,0.7867,3491.737532377243,235.8548313914265,235.8548313914265
72,0.795,3542.090628385544,85.44952439752382,85.44952439752382
73,0.7925,3592.6359980106354,350.0,350.0
74,0.8005,3642.8284351825714,99.23926060813373,99.23926060813373
