round,accuracy,elapsed_time,round_time,round_time
1,0.03265957446808511,55.83284282684326,55.83284170959981,55.83284170959981
2,0.02127659574468085,105.89642095565796,98.08390748647756,98.08390748647756
3,0.0723936170212766,156.65014004707336,99.66580932764408,99.66580932764408
4,0.10377659574468086,207.28929233551025,145.3534835994672,145.3534835994672
5,0.10053191489361703,257.6657643318176,235.71986404341004,235.71986404341004
6,0.09909574468085107,309.6144938468933,81.89476809324553,81.89476809324553
7,0.12569148936170213,360.3682129383087,111.49640961356394,111.49640961356394
8,0.18563829787234043,410.46322107315063,75.23443878724107,75.23443878724107
9,0.19936170212765958,461.9819073677063,211.77779119989435,211.77779119989435
10,0.22095744680851065,512.1489210128784,350.0,350.0
11,0.3292553191489362,563.0091593265533,66.38684091213393,66.38684091213393
12,0.3625,613.9684319496155,181.10081989259464,181.10081989259464
13,0.44005319148936173,669.3710513114929,112.73363094023833,112.73363094023833
14,0.4596276595744681,719.6559567451477,124.19961666879001,124.19961666879001
15,0.47085106382978725,770.2236824035645,86.03153388764812,86.03153388764812
16,0.5071808510638298,822.8592758178711,61.491753017169714,61.491753017169714
17,0.5231914893617021,876.1479535102844,350.0,350.0
18,0.5345744680851063,928.2262380123138,350.0,350.0
19,0.5654787234042553,980.0132315158844,235.8548313914265,235.8548313914265
20,0.5708510638297872,1025.2239677906036,211.77779119989435,211.77779119989435
21,0.5873936170212766,1075.3171126842499,80.72141690395256,80.72141690395256
22,0.5906382978723405,1125.6723515987396,111.49640961356394,111.49640961356394
23,0.6100531914893617,1176.0287473201752,86.02309511668781,86.02309511668781
24,0.6025531914893617,1226.1695413589478,104.24616349870709,104.24616349870709
25,0.6258510638297873,1276.964195728302,80.28926095522345,80.28926095522345
26,0.6225531914893617,1327.098818063736,260.13842185392105,260.13842185392105
27,0.6378191489361702,1376.6660995483398,143.98884617438733,143.98884617438733
28,0.631968085106383,1392.1126205921173,65.01380258283473,65.01380258283473
29,0.6433510638297872,1442.9216859340668,57.887633500847286,57.887633500847286
30,0.6431914893617021,1469.7558331489563,90.87953774468613,90.87953774468613
31,0.6466489361702128,1513.5304791927338,70.6087931982563,70.6087931982563
32,0.6527659574468085,1563.9952239990234,86.26501515874247,86.26501515874247
33,0.6668617021276596,1615.754858970642,101.03674380548021,101.03674380548021
34,0.6670744680851064,1667.0355260372162,81.32302137127638,81.32302137127638
35,0.6719148936170213,1717.0827100276947,168.25690413345262,168.25690413345262
36,0.679468085106383,1769.9759068489075,97.85525889943824,97.85525889943824
37,0.6554787234042553,1820.4011769294739,350.0,350.0
38,0.6793617021276596,1858.1815049648285,141.0987948830406,141.0987948830406
39,0.6756914893617021,1893.8118612766266,73.41068423390709,73.41068423390709
40,0.6793617021276596,1927.8897993564606,69.70829436576493,69.70829436576493
41,0.6820744680851064,1979.1250023841858,73.80300433610749,73.80300433610749
42,0.689468085106383,2031.5254199504852,79.458505226931,79.458505226931
43,0.6870212765957446,2085.61487698555,144.61348246213947,144.61348246213947
44,0.6845212765957447,2136.5157771110535,119.17898297790778,119.17898297790778
45,0.6885638297872341,2188.798294067383,242.9443154653758,242.9443154653758
46,0.6923404255319149,2240.274141550064,92.44132946377043,92.44132946377043
47,0.6865425531914894,2300.792496204376,106.42640312978205,106.42640312978205
48,0.6914361702127659,2354.416065454483,350.0,350.0
49,0.6958510638297872,2408.443719148636,163.73531731823215,163.73531731823215
50,0.7025,2460.4437639713287,350.0,350.0
51,0.7023936170212766,2511.7859485149384,95.66289169047135,95.66289169047135
52,0.7014893617021276,2564.20423412323,350.0,350.0
53,0.7013297872340426,2615.656179666519,79.27367592219687,79.27367592219687
54,0.7086170212765958,2665.6705725193024,350.0,350.0
55,0.6957978723404256,2715.7788412570953,135.2441653207223,135.2441653207223
56,0.7066489361702127,2766.0975244045258,107.66175686513087,107.66175686513087
57,0.7044680851063829,2796.4309661388397,335.98720212442464,335.98720212442464
58,0.7059574468085107,2848.576358318329,57.27029603256409,57.27029603256409
59,0.7059574468085107,2899.6254539489746,126.8149533000753,126.8149533000753
60,0.7103191489361702,2950.9401354789734,112.73363094023833,112.73363094023833
61,0.7142553191489361,3002.7914052009583,197.79459791770194,197.79459791770194
62,0.7112234042553192,3053.7506778240204,124.19961666879001,124.19961666879001
63,0.7119148936170213,3104.318403482437,86.03153388764812,86.03153388764812
64,0.7124468085106384,3155.027932167053,84.98773015077226,84.98773015077226
65,0.716436170212766,3205.573301792145,350.0,350.0
66,0.7125531914893617,3259.6656448841095,350.0,350.0
67,0.7145212765957447,3311.743929386139,104.81280009022373,104.81280009022373
68,0.7179787234042553,3366.805723428726,235.8548313914265,235.8548313914265
69,0.7175531914893617,3418.3362255096436,147.44597025644123,147.44597025644123
70,0.7126595744680851,3468.6380558013916,143.0705996004007,143.0705996004007
71,0.7156382978723405,3518.731200695038,70.27308631288804,70.27308631288804
72,0.720531914893617,3568.829947948456,86.02309511668781,86.02309511668781
73,0.7174468085106382,3621.43669629097,77.20289273194354,77.20289273194354
74,0.7188297872340426,3671.5963835716248,260.13842185392105,260.13842185392105
75,0.7142553191489361,3701.7259571552277,104.24616349870709,104.24616349870709
76,0.7166489361702127,3752.7670888900757,77.64321261855713,77.64321261855713
77,0.7180851063829787,3771.2982873916626,99.70190383622487,99.70190383622487
78,0.7156914893617021,3821.4907245635986,58.21687400090725,58.21687400090725
79,0.7225,3872.299789905548,90.87953774468613,90.87953774468613
80,0.7175531914893617,3929.0565152168274,101.03674380548021,101.03674380548021
81,0.720531914893617,3980.816150188446,106.52591830334157,106.52591830334157
