round,elapsed_time,accuracy,round_time
1,350.0000009536743,0.02851063829787234,350.0
2,585.8548324108124,0.057340425531914894,235.8548313914265
3,795.3055169582367,0.14085106382978724,209.450684482246
4,939.2943630218506,0.32978723404255317,143.98884617438733
5,1199.432784795761,0.42606382978723406,260.13842185392105
6,1549.432784795761,0.502127659574468,350.0
7,1667.8123259544373,0.5453191489361702,118.37954121334093
8,1879.5901172161102,0.5805851063829788,211.77779119989435
9,2229.5901172161102,0.6052659574468086,350.0
10,2377.03608751297,0.6252659574468085,147.44597025644123
11,2727.03608751297,0.643563829787234,350.0
12,2895.2929916381836,0.6595212765957447,168.25690413345262
13,3000.1057918071747,0.6699468085106383,104.81280009022373
14,3350.1057918071747,0.6784574468085106,350.0
15,3561.8835830688477,0.6833510638297873,211.77779119989435
16,3911.8835830688477,0.6922872340425532,350.0
17,4261.883583068848,0.7038297872340425,350.0
18,4611.883583068848,0.706436170212766,350.0
19,4961.883583068848,0.7077127659574468,350.0
20,5061.5854868888855,0.711063829787234,99.70190383622487
21,5321.723908662796,0.7117553191489362,260.13842185392105
22,5657.711110830307,0.7092553191489361,335.98720212442464
23,6007.711110830307,0.7152127659574468,350.0
24,6357.711110830307,0.714095744680851,350.0
25,6567.161795377731,0.7275,209.450684482246
26,6917.161795377731,0.7218085106382979,350.0
27,7008.041333198547,0.731063829787234,90.87953774468613
28,7358.041333198547,0.7287765957446809,350.0
29,7687.4141800403595,0.7302659574468086,329.37284688126255
30,7814.229133367538,0.7289361702127659,126.8149533000753
31,8164.229133367538,0.7253723404255319,350.0
32,8292.712015628815,0.7330851063829787,128.4828822496735
33,8504.489806890488,0.7320744680851063,211.77779119989435
34,8716.26759815216,0.7295744680851064,211.77779119989435
35,8793.910810709,0.7311702127659574,77.64321261855713
36,9143.910810709,0.7322340425531915,350.0
37,9248.156974315643,0.7345212765957447,104.24616349870709
38,9429.25779414177,0.7331914893617021,181.10081989259464
39,9592.993111371994,0.7321808510638298,163.73531731823215
40,9691.077018976212,0.7404255319148936,98.08390748647756
41,9900.527703523636,0.7345744680851064,209.450684482246
42,10081.628523349762,0.7332978723404255,181.10081989259464
43,10186.369643688202,0.7366489361702128,104.741120315662
44,10333.815613985062,0.742872340425532,147.44597025644123
45,10445.312023639679,0.7378191489361702,111.49640961356394
46,10522.748274803162,0.7371276595744681,77.4362510791963
47,10872.748274803162,0.7422872340425531,350.0
48,11001.231157064438,0.7387765957446808,128.4828822496735
49,11199.025754928589,0.7405851063829787,197.79459791770194
50,11401.563506603241,0.7322872340425531,202.537751584468
51,11751.563506603241,0.7395744680851064,350.0
52,12101.563506603241,0.7392553191489362,350.0
53,12171.64284157753,0.737872340425532,70.07933505067292
54,12295.842458248138,0.7423404255319149,124.19961666879001
55,12645.842458248138,0.7426063829787234,350.0
56,12790.45594072342,0.7363829787234043,144.61348246213947
57,12882.897270202637,0.7337765957446809,92.44132946377043
58,13232.897270202637,0.7421808510638298,350.0
59,13582.897270202637,0.7407978723404255,350.0
60,13675.338599681854,0.7401063829787234,92.44132946377043
61,13911.193431138992,0.7418617021276596,235.8548313914265
62,14058.639401435852,0.7402127659574468,147.44597025644123
63,14388.012248277664,0.7437765957446808,329.37284688126255
64,14738.012248277664,0.7392553191489362,350.0
65,15088.012248277664,0.7361702127659574,350.0
66,15174.678320646286,0.7407446808510638,86.6660724263333
67,15259.66605091095,0.741968085106383,84.98773015077226
68,15609.66605091095,0.741436170212766,350.0
69,15812.203802585602,0.7432978723404255,202.537751584468
70,16162.203802585602,0.7395744680851064,350.0
71,16260.28771018982,0.7362234042553192,98.08390748647756
72,16610.28771018982,0.739468085106383,350.0
73,16960.28771018982,0.7448936170212765,350.0
74,17034.208748102188,0.7390425531914894,73.92103783871697
75,17384.208748102188,0.7428191489361702,350.0
76,17620.063579559326,0.7410638297872341,235.8548313914265
77,17949.43642640114,0.737872340425532,329.37284688126255
78,18094.78991007805,0.7441489361702127,145.3534835994672
79,18292.5845079422,0.7452659574468085,197.79459791770194
80,18410.964049100876,0.7431914893617021,118.37954121334093
81,18760.964049100876,0.7448404255319149,350.0
82,18843.447633504868,0.7438829787234043,82.48358429848568
83,18947.69379711151,0.739468085106383,104.24616349870709
84,19051.939960718155,0.737872340425532,104.24616349870709
85,19401.939960718155,0.7436702127659575,350.0
86,19751.939960718155,0.7437765957446808,350.0
87,19858.46587896347,0.7401063829787234,106.52591830334157
88,19998.79283952713,0.7439361702127659,140.32696065609778
89,20208.243524074554,0.7417021276595744,209.450684482246
90,20299.923943281174,0.7399468085106383,91.68041932044181
91,20635.911145448685,0.7426595744680851,335.98720212442464
92,20847.688936710358,0.7429787234042553,211.77779119989435
93,21028.789756536484,0.743563829787234,181.10081989259464
94,21378.789756536484,0.7418085106382979,350.0
95,21465.455828905106,0.7453191489361702,86.6660724263333
96,21815.455828905106,0.7431914893617021,350.0
97,22165.455828905106,0.7438829787234043,350.0
98,22515.455828905106,0.7417021276595744,350.0
99,22696.55664873123,0.7402659574468086,181.10081989259464
100,22844.00261902809,0.745904255319149,147.44597025644123
