Polaris,Pisces,Oort,FedBuff
0.0,0.0,0.0,0.0
4.966887417218543,3.377483443708609,0.9821428571428571,1.0596026490066226
9.337748344370862,6.556291390728477,1.9642857142857142,2.0529801324503314
13.37748344370861,9.271523178807946,2.946428571428571,3.04635761589404
17.08609271523179,11.72185430463576,3.9285714285714284,3.973509933774835
20.79470198675497,14.039735099337747,4.910714285714286,4.90066225165563
24.37086092715232,16.357615894039732,5.892857142857142,5.761589403973511
27.88079470198676,18.476821192052977,6.874999999999999,6.622516556291393
31.059602649006624,20.39735099337748,7.857142857142856,7.483443708609274
34.105960264900666,22.31788079470198,8.839285714285714,8.278145695364241
37.152317880794705,24.039735099337744,9.821428571428571,9.072847682119209
40.0,25.69536423841059,10.803571428571429,9.867549668874176
42.78145695364238,27.284768211920525,11.785714285714286,10.662251655629143
45.496688741721854,28.675496688741717,12.767857142857144,11.45695364238411
48.079470198675494,30.06622516556291,13.750000000000002,12.251655629139078
50.662251655629134,31.390728476821188,14.73214285714286,12.980132450331132
53.17880794701986,32.64900662251655,15.714285714285717,13.708609271523185
55.62913907284768,33.907284768211916,16.696428571428573,14.437086092715239
58.01324503311258,35.16556291390728,17.67857142857143,15.165562913907292
60.33112582781457,36.423841059602644,18.66071428571429,15.894039735099346
62.64900662251655,37.615894039735096,19.55357142857143,16.622516556291398
64.90066225165563,38.74172185430463,20.446428571428573,17.35099337748345
67.08609271523179,39.80132450331125,21.339285714285715,18.079470198675505
68.94039735099338,40.86092715231787,22.232142857142858,18.80794701986756
70.4635761589404,41.85430463576158,23.035714285714285,19.536423841059612
71.9205298013245,42.84768211920529,23.83928571428571,20.264900662251666
73.24503311258279,43.774834437086085,24.64285714285714,20.99337748344372
74.43708609271523,44.70198675496688,25.446428571428566,21.655629139072857
75.62913907284768,45.56291390728476,26.249999999999993,22.317880794701995
76.82119205298012,46.42384105960264,26.964285714285708,22.980132450331133
77.94701986754966,47.284768211920515,27.678571428571423,23.64238410596027
79.00662251655628,48.14569536423839,28.39285714285714,24.30463576158941
79.93377483443707,49.00662251655627,29.107142857142854,24.966887417218548
80.79470198675496,49.801324503311236,29.82142857142857,25.629139072847686
81.65562913907284,50.5960264900662,30.535714285714285,26.291390728476824
82.51655629139073,51.39072847682117,31.25,26.95364238410596
83.3112582781457,52.18543046357613,31.964285714285715,27.6158940397351
84.03973509933775,52.913907284768186,32.67857142857143,28.278145695364238
84.70198675496688,53.64238410596024,33.30357142857143,28.940397350993376
85.36423841059602,54.37086092715229,33.92857142857143,29.602649006622514
85.96026490066224,55.09933774834435,34.55357142857143,30.19867549668874
86.55629139072846,55.8278145695364,35.17857142857143,30.794701986754966
87.15231788079468,56.49006622516554,35.80357142857143,31.39072847682119
87.682119205298,57.15231788079468,36.42857142857143,31.986754966887418
88.14569536423839,57.814569536423825,37.05357142857143,32.58278145695364
88.54304635761588,58.47682119205297,37.67857142857143,33.17880794701986
88.94039735099336,59.13907284768211,38.30357142857143,33.774834437086085
89.27152317880794,59.80132450331125,38.92857142857143,34.37086092715231
89.60264900662251,60.46357615894039,39.55357142857143,34.96688741721853
89.93377483443709,61.12582781456953,40.17857142857143,35.56291390728475
90.19867549668875,61.721854304635755,40.80357142857143,36.158940397350975
90.46357615894041,62.31788079470198,41.42857142857143,36.7549668874172
90.72847682119207,62.9139072847682,42.05357142857143,37.35099337748342
90.99337748344374,63.50993377483442,42.67857142857143,37.94701986754964
91.2582781456954,64.03973509933773,43.30357142857143,38.543046357615864
91.45695364238414,64.56953642384104,43.92857142857143,39.13907284768209
91.65562913907287,65.09933774834435,44.55357142857143,39.73509933774831
91.85430463576161,65.62913907284766,45.17857142857143,40.33112582781453
92.05298013245034,66.15894039735097,45.80357142857143,40.927152317880754
92.25165562913908,66.68874172185429,46.42857142857143,41.52317880794698
92.45033112582782,67.2185430463576,47.05357142857143,42.1192052980132
92.64900662251655,67.7483443708609,47.589285714285715,42.71523178807942
92.78145695364238,68.2119205298013,48.125,43.24503311258273
92.9139072847682,68.6754966887417,48.660714285714285,43.77483443708604
93.04635761589402,69.1390728476821,49.19642857142857,44.30463576158935
93.17880794701985,69.6026490066225,49.732142857142854,44.83443708609266
93.31125827814567,70.0662251655629,50.26785714285714,45.36423841059597
93.4437086092715,70.5298013245033,50.80357142857142,45.894039735099284
93.57615894039732,70.9933774834437,51.33928571428571,46.423841059602594
93.70860927152314,71.4569536423841,51.87499999999999,46.953642384105905
93.84105960264897,71.92052980132449,52.41071428571428,47.483443708609215
93.97350993377479,72.38410596026489,52.94642857142856,48.013245033112526
94.10596026490062,72.84768211920529,53.48214285714285,48.543046357615836
94.23841059602644,73.31125827814569,54.01785714285713,49.072847682119146
94.37086092715226,73.77483443708608,54.553571428571416,49.60264900662246
94.50331125827809,74.23841059602648,55.0892857142857,50.13245033112577
94.63576158940391,74.70198675496688,55.624999999999986,50.66225165562908
94.76821192052974,75.16556291390728,56.16071428571427,51.19205298013239
94.90066225165556,75.62913907284768,56.696428571428555,51.7218543046357
94.96688741721847,76.09271523178808,57.23214285714284,52.25165562913901
95.03311258278138,76.55629139072848,57.767857142857125,52.78145695364232
95.0993377483443,77.01986754966887,58.30357142857141,53.31125827814563
95.16556291390721,77.48344370860927,58.839285714285694,53.84105960264894
95.23178807947012,77.88079470198676,59.37499999999998,54.37086092715225
95.29801324503303,78.27814569536424,59.91071428571426,54.90066225165556
95.36423841059595,78.67549668874173,60.44642857142855,55.43046357615887
95.43046357615886,79.07284768211922,60.98214285714283,55.96026490066218
