FedBuff,Polaris,Pisces
0.0,0.0,0.0
0.03,0.01805337519623234,0.026495726495726495
0.05,0.03571428571428571,0.05128205128205128
0.07,0.05337519623233909,0.07008547008547009
0.085,0.07103610675039247,0.08632478632478632
0.1,0.08791208791208792,0.10170940170940171
0.115,0.1043956043956044,0.1170940170940171
0.13,0.12087912087912088,0.13247863247863248
0.14500000000000002,0.13736263736263737,0.14786324786324787
0.16000000000000003,0.1534536891679749,0.16153846153846155
0.17500000000000004,0.1695447409733124,0.17521367521367523
0.19000000000000006,0.18563579277864992,0.1888888888888889
0.20500000000000007,0.2009419152276295,0.20170940170940174
0.21500000000000008,0.21546310832025117,0.21452991452991457
0.2250000000000001,0.22998430141287285,0.22649572649572655
0.2350000000000001,0.24450549450549453,0.23846153846153853
0.2450000000000001,0.2586342229199372,0.2504273504273505
0.2550000000000001,0.27197802197802196,0.26239316239316246
0.2650000000000001,0.2853218210361067,0.2735042735042736
0.27500000000000013,0.2982731554160125,0.2846153846153847
0.28500000000000014,0.3112244897959183,0.29572649572649584
0.29500000000000015,0.3237833594976452,0.3059829059829061
0.30500000000000016,0.3359497645211931,0.3162393162393164
0.31500000000000017,0.347723704866562,0.32649572649572667
0.3250000000000002,0.358712715855573,0.33675213675213694
0.3350000000000002,0.369701726844584,0.34615384615384637
0.3450000000000002,0.380690737833595,0.3555555555555558
0.3550000000000002,0.39167974882260603,0.3649572649572652
0.3650000000000002,0.40266875981161704,0.37435897435897464
0.3750000000000002,0.41326530612244905,0.38376068376068406
0.38500000000000023,0.42386185243328106,0.3931623931623935
0.39500000000000024,0.4344583987441131,0.4025641025641029
0.40500000000000025,0.44466248037676614,0.41196581196581233
0.41500000000000026,0.4548665620094192,0.42136752136752176
0.42500000000000027,0.4650706436420723,0.4307692307692312
0.4350000000000003,0.47527472527472536,0.4401709401709406
0.4450000000000003,0.48508634222919944,0.44957264957265003
0.4550000000000003,0.4948979591836735,0.45897435897435945
0.4650000000000003,0.5043171114599686,0.467521367521368
0.4750000000000003,0.5133437990580848,0.4760683760683766
0.4850000000000003,0.522370486656201,0.48461538461538517
0.49500000000000033,0.5313971742543172,0.49316239316239374
0.5050000000000003,0.5400313971742544,0.5017094017094023
0.5150000000000003,0.5486656200941916,0.5102564102564108
0.5250000000000004,0.5569073783359498,0.5188034188034193
0.5350000000000004,0.565149136577708,0.5273504273504278
0.5450000000000004,0.5733908948194663,0.5350427350427355
0.5550000000000004,0.5812401883830456,0.5427350427350431
0.5650000000000004,0.5890894819466249,0.5504273504273508
0.5700000000000004,0.5965463108320253,0.5581196581196585
0.5750000000000004,0.6040031397174256,0.5658119658119661
0.5800000000000004,0.6110675039246469,0.5735042735042738
0.5850000000000004,0.6181318681318683,0.5811965811965815
0.5900000000000004,0.6251962323390896,0.5880341880341883
0.5950000000000004,0.632260596546311,0.5948717948717951
0.6000000000000004,0.6389324960753533,0.6017094017094019
0.6050000000000004,0.6456043956043956,0.6085470085470087
0.6100000000000004,0.652276295133438,0.6153846153846155
0.6150000000000004,0.6585557299843015,0.6222222222222223
0.6200000000000004,0.6648351648351649,0.6290598290598292
0.6250000000000004,0.6711145996860284,0.635897435897436
0.6300000000000004,0.6773940345368918,0.6427350427350428
0.6350000000000005,0.6836734693877553,0.6495726495726496
0.6400000000000005,0.6895604395604398,0.6564102564102564
0.6450000000000005,0.6954474097331242,0.6632478632478632
0.6500000000000005,0.7013343799058087,0.6692307692307692
0.6550000000000005,0.7072213500784932,0.6752136752136751
0.6600000000000005,0.7131083202511777,0.6811965811965811
0.6650000000000005,0.7186028257456831,0.6871794871794871
0.6700000000000005,0.7240973312401886,0.693162393162393
0.6750000000000005,0.7291993720565151,0.6982905982905981
0.6800000000000005,0.7343014128728416,0.7034188034188033
0.6850000000000005,0.739403453689168,0.7085470085470084
0.6900000000000005,0.7445054945054945,0.7136752136752135
0.6950000000000005,0.749607535321821,0.7188034188034186
0.7000000000000005,0.7547095761381475,0.7239316239316237
0.7050000000000005,0.7594191522762951,0.7290598290598288
0.7100000000000005,0.7641287284144427,0.7341880341880339
0.7150000000000005,0.7688383045525903,0.739316239316239
0.7200000000000005,0.7735478806907379,0.7444444444444441
0.7250000000000005,0.7782574568288855,0.7495726495726492
0.7300000000000005,0.7825745682888541,0.7547008547008544
0.7350000000000005,0.7868916797488227,0.7598290598290595
0.7400000000000005,0.7912087912087913,0.7649572649572646
0.7450000000000006,0.7955259026687599,0.7700854700854697
0.7500000000000006,0.7998430141287285,0.7752136752136748
0.7550000000000006,0.8041601255886971,0.779487179487179
0.7600000000000006,0.8084772370486657,0.7837606837606833
0.7650000000000006,0.8127943485086343,0.7880341880341876
0.7700000000000006,0.8171114599686029,0.7923076923076918
0.7750000000000006,0.8210361067503925,0.7957264957264952
0.7800000000000006,0.8249607535321821,0.7991452991452986
0.7850000000000006,0.8288854003139717,0.802564102564102
0.7900000000000006,0.8328100470957613,0.8059829059829055
0.7950000000000006,0.836734693877551,0.808547008547008
0.8000000000000006,0.8406593406593406,0.8111111111111106
0.8050000000000006,0.8445839874411302,0.8136752136752131
0.8100000000000006,0.8481161695447409,0.8162393162393157
0.8150000000000006,0.8516483516483516,0.8188034188034182
0.8200000000000006,0.8551805337519623,0.8213675213675208
0.8250000000000006,0.8587127158555731,0.8239316239316233
0.8300000000000006,0.8622448979591838,0.8264957264957259
0.8350000000000006,0.8653846153846155,0.8290598290598284
0.8400000000000006,0.8685243328100473,0.831623931623931
0.8450000000000006,0.871664050235479,0.8341880341880336
