round,accuracy,elapsed_time
1,0.20245555555555556,23.000000476837158
2,0.3945888888888889,70.00000047683716
3,0.21603333333333333,81.00000047683716
4,0.4843777777777778,94.00000047683716
5,0.5334777777777778,125.00000047683716
6,0.4956,158.00000047683716
7,0.5551555555555555,195.00000047683716
8,0.5883666666666667,209.00000047683716
9,0.5646666666666667,231.00000047683716
10,0.5971444444444445,265.00000047683716
11,0.5982444444444445,279.00000047683716
12,0.6185888888888889,301.00000047683716
13,0.6201111111111111,335.00000047683716
14,0.6034888888888889,349.00000047683716
15,0.6467333333333334,365.00000047683716
16,0.6250666666666667,380.00000047683716
17,0.6321333333333333,419.00000047683716
18,0.6353222222222222,450.00000047683716
19,0.6546111111111111,464.00000047683716
20,0.6519222222222222,487.00000047683716
21,0.6446888888888889,503.00000047683716
22,0.647,534.0000004768372

