round,elapsed_time,accuracy
1,75.00000047683716,97.1383365204517
2,350.00000047683716,70.21029021095342
3,425.00000047683716,68.62999780133434
4,490.00000047683716,49.802530495306996
5,700.0000004768372,44.035600845962996
6,775.0000004768372,41.823894597994325
7,840.0000004768372,37.437452390043696
8,1050.0000004768372,35.84269245088383
9,1125.0000004768372,34.733170756044245
10,1190.0000004768372,32.637383810647755
11,1400.0000004768372,31.183889221596505
12,1475.0000004768372,29.968896911676808
13,1540.0000004768372,30.24443644021802
14,1685.0000004768372,28.291771994349695
15,1825.0000004768372,27.783720466541485
16,1980.0000004768372,27.642489326613397
17,2065.000000476837,26.70178546230299
18,2175.000000476837,26.094049658616143
19,2265.000000476837,25.78057731825035
20,2415.000000476837,25.528091476564263
21,2525.000000476837,24.975402854045942
22,2580.000000476837,24.33611660266519
23,2635.000000476837,24.34581398093453
24,2690.000000476837,23.6973463460015
25,2745.000000476837,23.61425257523489
26,2765.000000476837,23.818801421927606
27,2805.000000476837,23.328295539316045
28,2825.000000476837,23.294764722991427
29,2865.000000476837,23.051719690237903
30,2880.000000476837,23.09343874377023
31,2925.000000476837,22.78095376501684
32,2945.000000476837,22.893749024909773
33,2980.000000476837,22.443156975016066
34,3000.000000476837,22.799205153760397
35,3040.000000476837,22.345545337985204
36,3075.000000476837,22.478457613979785
37,3100.000000476837,22.324335606593316
38,3140.000000476837,22.404909510138584
39,3160.000000476837,22.377715169661784
40,3200.000000476837,22.22792968830572
41,3220.000000476837,22.46934868081053
42,3260.000000476837,22.145922393933297
43,3280.000000476837,22.347862961194288
44,3325.000000476837,22.17629792283011
45,3340.000000476837,22.302146342192255
46,3385.000000476837,22.35606981216379
47,3400.000000476837,22.523671052584344
48,3455.000000476837,22.299025337165787
49,3455.000000476837,22.247758849963024
50,3510.000000476837,22.725523239229933
