elapsed_time,accuracy
7756.0,69.44199999856949
7776.0,69.47984615395619
7796.0,69.47676923087927
7816.0,69.47369230780235
7836.0,69.47061538472542
7856.0,69.50388235142651
7876.0,69.54623529260299
7896.0,69.58858823377946
7916.0,69.63094117495594
7936.0,69.6732941161324
7956.0,69.71564705730887
7976.0,69.75799999848533
7996.0,69.8003529396618
96.0,10.0
116.0,10.0
136.0,10.0
156.0,10.0
176.0,10.0
196.0,10.0
216.0,10.0
236.0,10.0
256.0,10.0
276.0,10.0
296.0,10.0
316.0,10.0
336.0,10.0
356.0,10.0
376.0,10.0
396.0,10.0
416.0,10.0
436.0,10.0
456.0,10.000545454480433
476.0,10.002363636298615
496.0,10.004181818116795
516.0,10.005999999934977
536.0,10.007818181753159
556.0,10.009636363571339
576.0,11.18714280452047
596.0,12.658571375949041
616.0,14.129999947377614
636.0,15.601428518806184
656.0,17.072857090234756
676.0,18.54428566166333
696.0,20.0157142330919
716.0,21.08810522837388
736.0,22.060736807321245
756.0,23.033368386268616
776.0,24.005999965215985
796.0,24.939999992847444
816.0,25.13999999284744
836.0,25.33999999284744
856.0,25.53999999284744
876.0,25.73999999284744
896.0,25.93999999284744
916.0,26.365333299318955
936.0,27.316444410430062
956.0,28.267555521541176
976.0,29.21866663265229
996.0,30.169777743763404
1016.0,31.12088885487452
1036.0,32.071999965985626
1056.0,32.540699997353556
1076.0,32.614699997353554
1096.0,32.68869999735355
1116.0,32.76269999735356
1136.0,32.836699997353556
1156.0,33.213391282019415
1176.0,33.83773910810637
1196.0,34.46208693419332
1216.0,35.086434760280284
1236.0,35.71078258636724
1256.0,36.3351304124542
1276.0,36.5322962930644
1296.0,36.62266666343477
1316.0,36.71303703380514
1336.0,36.80340740417551
1356.0,36.893777774545875
1376.0,36.984148144916254
1396.0,37.07959999313354
1416.0,37.27159999313355
1436.0,37.46359999313354
1456.0,37.65559999313355
1476.0,37.84759999313355
1496.0,38.056769211622395
1516.0,38.59215382700701
1536.0,39.127538442391625
1556.0,39.66292305777624
1576.0,40.198307673160855
1596.0,40.73369228854547
1616.0,41.269076903930085
1636.0,41.57141666267316
1656.0,41.68308332933982
1676.0,41.794749996006495
1696.0,41.90641666267316
1716.0,42.018083329339824
1736.0,42.129749996006495
1756.0,42.15895652310744
1776.0,42.12069565354223
1796.0,42.082434783977014
1816.0,42.04417391441179
1836.0,42.00591304484658
1856.0,41.96765217528136
1876.0,41.92939130571614
1896.0,41.891130436150924
1916.0,41.8528695665857
1936.0,41.81460869702049
1956.0,41.776347827455275
1976.0,41.7618666510264
1996.0,42.19919998435974
2016.0,42.636533317693065
2036.0,43.0738666510264
2056.0,43.49399998641014
2076.0,43.87399998641013
2096.0,44.25399998641013
2116.0,44.63399998641013
2136.0,45.01399998641013
2156.0,45.39399998641013
2176.0,45.676545445312144
2196.0,45.93472726349396
2216.0,46.19290908167578
2236.0,46.4510908998576
2256.0,46.709272718039415
2276.0,46.96745453622124
2296.0,47.22563635440306
2316.0,47.483818172584876
2336.0,47.51933333857855
2356.0,47.37266667191188
2376.0,47.22600000524521
2396.0,47.07933333857854
2416.0,47.33363635095682
2436.0,47.688181805502275
2456.0,48.04272726004773
2476.0,48.397272714593186
2496.0,48.75181816913864
2516.0,49.06945453717491
2536.0,49.30096968869007
2556.0,49.532484840205214
2576.0,49.76399999172037
2596.0,49.99551514323552
2616.0,50.227030294750676
2636.0,50.45854544626582
2656.0,50.69006059778097
2676.0,50.92349999034405
2696.0,51.19349999034404
2716.0,51.46349999034404
2736.0,51.73349999034404
2756.0,52.004363626089955
2776.0,52.291636353362684
2796.0,52.57890908063542
2816.0,52.86618180790814
2836.0,53.15345453518086
2856.0,53.44072726245359
2876.0,53.621791663299
2896.0,53.715958329965666
2916.0,53.81012499663234
2936.0,53.904291663299
2956.0,53.99845832996567
2976.0,54.09262499663233
2996.0,54.186791663299005
3016.0,54.28095832996567
3036.0,54.37512499663234
3056.0,54.469291663299
3076.0,54.56345832996568
3096.0,54.657624996632336
3116.0,54.95024998372793
3136.0,55.40524998372792
3156.0,55.860249983727925
3176.0,56.315249983727924
3196.0,56.43016667250793
3216.0,56.266833339174596
3236.0,56.103500005841255
3256.0,56.175619038150415
3276.0,56.44038094291233
3296.0,56.705142847674225
3316.0,56.96990475243613
3336.0,57.23466665719804
3356.0,57.499428561959945
3376.0,57.76419046672184
3396.0,58.02895237148375
3416.0,58.29371427624566
3436.0,58.558476181007556
3456.0,58.814571425301686
3476.0,58.90599999673025
3496.0,58.997428568158824
3516.0,59.088857139587404
3536.0,59.18028571101597
3556.0,59.27171428244454
3576.0,59.36314285387312
3596.0,59.46030768493505
3616.0,59.6664615310889
3636.0,59.872615377242745
3656.0,60.07876922339659
3676.0,60.24468964959835
3696.0,60.40055171856387
3716.0,60.55641378752939
3736.0,60.7122758564949
3756.0,60.86813792546042
3776.0,61.023999994425935
3796.0,61.179862063391454
3816.0,61.223285716022765
3836.0,61.17471428745134
3856.0,61.12614285887991
3876.0,61.077571430308474
3896.0,61.02900000173705
3916.0,60.980428573165625
3936.0,60.93185714459419
3956.0,61.023299992632865
3976.0,61.22929999263286
3996.0,61.43529999263285
4016.0,61.64129999263286
4036.0,61.847299992632855
4056.0,62.010999995383344
4076.0,62.140090904474256
4096.0,62.269181813565154
4116.0,62.39827272265607
4136.0,62.52736363174698
4156.0,62.655857138667784
4176.0,62.77299999581064
4196.0,62.8901428529535
