round,elapsed_time,accuracy
1,115.00000023841858,92.82291433602188
2,350.0000002384186,67.09691951139393
3,415.0000002384186,64.86223308738629
4,475.0000002384186,51.3459955713269
5,650.0000002384186,42.81652612061033
6,765.0000002384186,39.443303727826006
7,830.0000002384186,38.446500345718924
8,1000.0000002384186,35.156832587455526
9,1115.0000002384186,33.652658653750876
10,1180.0000002384186,31.971966936571288
11,1315.0000002384186,31.169283224795112
12,1530.0000002384186,30.33355640748687
13,1645.0000002384186,29.170181639926724
14,1700.0000002384186,28.511580144906894
15,1880.0000002384186,27.427517630711034
16,1955.0000002384186,26.773322635704574
17,2010.0000002384186,26.21451004609208
18,2065.0000002384186,25.809833132350466
19,2120.0000002384186,25.16612077520225
20,2210.0000002384186,24.74934746864825
21,2270.0000002384186,24.470580954005516
22,2415.0000002384186,24.3018382645229
23,2485.0000002384186,23.8477356595279
24,2620.0000002384186,23.595382472127945
25,2765.0000002384186,23.402229977205828
26,2825.0000002384186,23.039802038536717
27,2890.0000002384186,22.802140649935684
28,2950.0000002384186,22.722104620416737
29,3005.0000002384186,22.5511287903529
30,3060.0000002384186,22.36281874029079
31,3115.0000002384186,22.526887949213226
32,3170.0000002384186,22.19936228119175
33,3175.0000002384186,22.281726836503644
34,3230.0000002384186,21.95972890973346
35,3285.0000002384186,22.062092508191686
36,3290.0000002384186,22.084232483461612
37,3345.0000002384186,21.9999489836347
38,3400.0000002384186,22.027823867091772
39,3420.0000002384186,21.982961108934433
40,3475.0000002384186,21.839519743941803
41,3530.0000002384186,21.697169540149027
42,3560.0000002384186,21.77261942310042
43,3615.0000002384186,21.61002978693387
44,3670.0000002384186,21.838681441521427
45,3680.0000002384186,21.8542916398706
46,3735.0000002384186,21.568594090389855
47,3790.0000002384186,21.718964017021978
48,3845.0000002384186,21.81028149648912
49,3900.0000002384186,21.840550743835347
50,3955.0000002384186,22.04442068672671
