round,elapsed_time,accuracy
1,225.00000071525574,94.7496866501573
2,350.00000071525574,70.91897503688918
3,405.00000071525574,66.10491966461453
4,575.0000007152557,48.064807143513434
5,700.0000007152557,45.15503304489514
6,760.0000007152557,42.47874729358652
7,925.0000007152557,38.00682108979669
8,1050.0000007152557,36.089711816225915
9,1110.0000007152557,34.65420164004117
10,1275.0000007152557,32.64374958276949
11,1355.0000007152557,31.613415498070456
12,1470.0000007152557,31.276545485824904
13,1610.0000007152557,29.434398324861707
14,1705.0000007152557,29.129920795729266
15,1765.0000007152557,28.080740825576413
16,1960.0000007152557,27.800067064199293
17,2055.0000007152557,26.91541305621181
18,2115.0000007152557,26.58108850764339
19,2310.0000007152557,25.754670264213686
20,2465.0000007152557,25.528907063346214
21,2660.0000007152557,25.14896042610316
22,2815.0000007152557,24.53095218469751
23,3010.0000007152557,24.528402312473
24,3165.0000007152557,24.063754347717495
25,3360.0000007152557,23.62485638944179
26,3515.0000007152557,23.56674879356969
27,3710.0000007152557,23.445024969509614
28,3865.0000007152557,23.03721492575622
29,3935.0000007152557,22.820088007447563
30,4060.0000007152557,22.641394030179423
31,4215.000000715256,22.68145655897921
32,4280.000000715256,22.269644454396634
33,4410.000000715256,22.212656331337534
34,4565.000000715256,22.188578296397452
35,4730.000000715256,22.014477728229586
36,4915.000000715256,21.886009918724916
37,5065.000000715256,21.786421465919474
38,5130.000000715256,21.821037698980447
39,5265.000000715256,21.634939720685693
40,5375.000000715256,21.560583791378722
41,5505.000000715256,21.62290905259558
42,5655.000000715256,21.54079702748737
43,5745.000000715256,21.510717557100644
44,6005.000000715256,21.464804518571558
45,6095.000000715256,21.420664536220723
46,6155.000000715256,21.361718109624523
47,6220.000000715256,21.36732117785072
48,6355.000000715256,21.505415285122552
49,6475.000000715256,21.32086528190842
50,6555.000000715256,21.418529881311148
