round,accuracy,training_time,round_time
1,3.0555955293327575,183.35900898603722,3919038.337873579
2,5.414448122031947,170.94399898312986,3919825.461446064
3,9.229145680433636,162.2734252992086,3920643.285106547
4,10.803712764426535,157.031999562867,3921440.291342745
5,17.286659951072096,178.61636103410274,3922144.251819772
