round,accuracy,elapsed_time,comm_time,round_time
1,0.04916774595865112,65.00000071525574,0,65
2,0.049899266081450566,125.00000071525574,0,100
3,0.07198877536336164,180.00000071525574,0,150
4,0.1279320765577781,235.00000071525574,0,60
5,0.13782558641531156,290.00000071525574,0,275
6,0.14305415647335348,350.00000071525574,0,350
7,0.1472514030795798,405.00000071525574,0,350
8,0.18240034537343502,465.00000071525574,0,60
9,0.2048016501175229,520.0000007152557,0,350
10,0.21238067827505155,575.0000007152557,0,350
11,0.23855950496474312,635.0000007152557,0,350
12,0.2670767976207608,695.0000007152557,0,95
13,0.24817719575958172,750.0000007152557,0,350
14,0.2974648630498393,805.0000007152557,0,75
15,0.3028853072384516,860.0000007152557,0,350
16,0.3144457236053149,915.0000007152557,0,350
17,0.3066988055835372,970.0000007152557,0,350
18,0.32173694056698804,1025.0000007152557,0,350
19,0.34648870341056265,1080.0000007152557,0,100
20,0.3277090228809901,1135.0000007152557,0,135
21,0.36608384899505925,1190.0000007152557,0,340
22,0.37136038758574375,1245.0000007152557,0,350
23,0.3712764426536192,1300.0000007152557,0,115
24,0.3419197006763563,1320.0000007152557,0,240
25,0.40755264546457526,1375.0000007152557,0,60
26,0.37895140787643306,1430.0000007152557,0,110
27,0.42141555139828274,1485.0000007152557,0,75
28,0.41828560464335396,1540.0000007152557,0,100
29,0.4169664699956828,1595.0000007152557,0,70
30,0.41505972082314,1650.0000007152557,0,75
31,0.4213196143329975,1705.0000007152557,0,100
32,0.4429414304216434,1725.0000007152557,0,350
33,0.45842327433203817,1780.0000007152557,0,70
34,0.45568906797141073,1800.0000007152557,0,75
35,0.45414208279368734,1855.0000007152557,0,60
36,0.47593178874658226,1890.0000007152557,0,110
37,0.46118146495898693,1945.0000007152557,0,65
38,0.4794214994963304,2000.0000007152557,0,75
39,0.49293663356837913,2055.0000007152557,0,70
40,0.4915455461217441,2110.0000007152557,0,75
41,0.501019331318655,2165.0000007152557,0,100
42,0.5208303353000432,2220.0000007152557,0,350
43,0.5077469180217777,2275.0000007152557,0,75
44,0.5266345277497961,2330.0000007152557,0,195
45,0.5293447498441023,2385.0000007152557,0,350
46,0.5470931069218593,2440.0000007152557,0,85
47,0.5195831534513359,2570.0000007152557,0,350
48,0.5409651268767688,2630.0000007152557,0,350
49,0.5761620377032667,2685.0000007152557,0,350
50,0.5617474936441694,2740.0000007152557,0,350
51,0.5769775027581906,2795.0000007152557,0,350
52,0.5341535952415216,2850.0000007152557,0,140
53,0.5816544346908428,2905.0000007152557,0,150
54,0.5656329447882189,2960.0000007152557,0,300
55,0.5644936921379575,3015.0000007152557,0,350
56,0.5822420492157145,3075.0000007152557,0,80
57,0.5925792680001919,3145.0000007152557,0,350
58,0.5995227131002062,3225.0000007152557,0,350
59,0.613037847172255,3285.0000007152557,0,350
60,0.6100278217489327,3345.0000007152557,0,350
61,0.593118913992421,3405.0000007152557,0,350
62,0.5850841847747877,3465.0000007152557,0,350
63,0.6158559984650069,3525.0000007152557,0,350
64,0.606250299803329,3595.0000007152557,0,80
65,0.6218880414448122,3655.0000007152557,0,350
66,0.6097400105530771,3755.0000007152557,0,350
67,0.6085048208375305,3875.0000007152557,0,350
68,0.6250539645992229,3960.0000007152557,0,350
69,0.6232911210246078,4020.0000007152557,0,350
70,0.6151724468748501,4100.000000715256,0,80
71,0.6290953134743609,4155.000000715256,0,350
72,0.6157840456660431,4210.000000715256,0,285
73,0.6298268335971603,4265.000000715256,0,80
74,0.6103516093442701,4320.000000715256,0,350
