round,elapsed_time,accuracy
1,115.00000047683716,95.30176402981937
2,350.00000047683716,66.89584923764113
3,410.00000047683716,65.11808390581871
4,470.00000047683716,51.08949853905933
5,650.0000004768372,42.79934907335551
6,760.0000004768372,39.4165489751684
7,825.0000004768372,38.74247895618231
8,1000.0000004768372,35.219183148132366
9,1110.0000004768372,33.76360443543075
10,1175.0000004768372,32.73987705544818
11,1245.0000004768372,31.273093127263333
12,1525.0000004768372,30.52089384882329
13,1585.0000004768372,29.24741146519754
14,1645.0000004768372,28.723061822046855
15,1820.0000004768372,27.686185777365985
16,1880.0000004768372,26.84825823686168
17,1950.0000004768372,26.518390370615133
18,2005.0000004768372,26.22221120939859
19,2070.000000476837,25.271142538655685
20,2170.000000476837,24.803078515575454
21,2230.000000476837,24.64591832097925
22,2355.000000476837,24.20064855696755
23,2425.000000476837,23.896295794403578
24,2580.000000476837,23.58690062601646
25,2705.000000476837,23.4817278840684
26,2775.000000476837,23.190032069757187
27,2835.000000476837,22.84655074192194
28,2890.000000476837,22.72706205642333
29,2945.000000476837,22.823271058200454
30,3000.000000476837,22.569766434770585
31,3055.000000476837,22.426211833029924
32,3110.000000476837,22.189128480826692
33,3125.000000476837,22.284048466479653
34,3170.000000476837,22.061818989224317
35,3185.000000476837,22.09177893500004
36,3240.000000476837,22.044510035498554
37,3260.000000476837,21.88866605786561
38,3315.000000476837,21.961844196980334
39,3355.000000476837,21.804115196414887
40,3385.000000476837,21.785512484543755
41,3440.000000476837,21.906260024940863
42,3495.000000476837,21.816241483536327
43,3520.000000476837,21.674285881277108
44,3560.000000476837,21.864996564475145
45,3615.000000476837,21.755122415542736
46,3670.000000476837,21.762333297597024
47,3725.000000476837,21.75613387000266
48,3780.000000476837,21.912867938489043
49,3835.000000476837,22.111270496561843
50,3890.000000476837,22.374391547621794
51,3945.000000476837,22.284101595854708
52,4000.000000476837,22.236680969954463
53,4055.000000476837,21.967190917751008
54,4110.000000476837,21.991904323278586
