Elapsed time,Accuracy (%),Method
120,0.010095744667154677,Pisces
170,0.011053191475665317,Pisces
220,0.012010638284175954,Pisces
270,0.012968085092686593,Pisces
320,0.013925531901197231,Pisces
370,0.014253846162649303,Pisces
420,0.016412499611973795,Pisces
470,0.043537499611973784,Pisces
520,0.06884193514793152,Pisces
570,0.09232580611567344,Pisces
620,0.11580967708341536,Pisces
670,0.13134347820924674,Pisces
720,0.13495217386142067,Pisces
770,0.1393937498292327,Pisces
820,0.15133124982923268,Pisces
870,0.16155806439430484,Pisces
920,0.1700741934265629,Pisces
970,0.17859032245882098,Pisces
1020,0.18735217378243157,Pisces
1070,0.1964826085650403,Pisces
1120,0.20642499975323683,Pisces
1170,0.22367499975323685,Pisces
1220,0.23642499988198284,Pisces
1270,0.24293448272359783,Pisces
1320,0.2453827585856668,Pisces
1370,0.24783103444773577,Pisces
1420,0.2502793103098047,Pisces
1470,0.2527275861718737,Pisces
1520,0.25517586203394266,Pisces
1570,0.2635249997961522,Pisces
1620,0.27604999987840656,Pisces
1670,0.28395428567790987,Pisces
1720,0.286497142820767,Pisces
1770,0.2890399999636242,Pisces
1820,0.2915828571064813,Pisces
1870,0.29974999982953066,Pisces
1920,0.30935714276926857,Pisces
1970,0.3154999999121257,Pisces
2020,0.3178636363298243,Pisces
2070,0.322436363567439,Pisces
2120,0.3271333332665761,Pisces
2170,0.3317999999332428,Pisces
2220,0.3425916664747396,Pisces
2270,0.349165384619236,Pisces
2320,0.3488961538500052,Pisces
2370,0.3486269230807745,Pisces
2420,0.35496428561312804,Pisces
2470,0.3590166666518847,Pisces
2520,0.360049999985218,Pisces
2570,0.36108333331855136,Pisces
2620,0.36196538460493083,Pisces
2670,0.3626961538357001,Pisces
2720,0.36342692306646934,Pisces
2770,0.36687499994635575,Pisces
2820,0.368,Pisces
2870,0.37134615375041957,Pisces
2920,0.3769727272532203,Pisces
2970,0.37838181815580885,Pisces
3020,0.3801999999739907,Pisces
3070,0.3813818181649121,Pisces
3120,0.3870285713406971,Pisces
3170,0.3892071428826877,Pisces
3220,0.3882307691405369,Pisces
3270,0.3945384614482292,Pisces
3320,0.39586666666547454,Pisces
3370,0.39731818178436973,Pisces
3420,0.39818181819092147,Pisces
3470,0.39849999997496605,Pisces
3520,0.400249999974966,Pisces
3570,0.40199999997496605,Pisces
3620,0.403749999974966,Pisces
3670,0.4044826086888106,Pisces
3720,0.4049608695583758,Pisces
3770,0.40499166667262715,Pisces
3820,0.4049639999874115,Pisces
3870,0.4058439999874115,Pisces
3920,0.4067239999874115,Pisces
3970,0.4102999999392032,Pisces
4020,0.411945454546755,Pisces
4070,0.41185454545584593,Pisces
4120,0.41289999996066096,Pisces
4170,0.4150666666690509,Pisces
4220,0.4149000000023842,Pisces
4270,0.4147333333357175,Pisces
4320,0.41456666666905084,Pisces
4370,0.41509999998569486,Pisces
4420,0.4160999999856949,Pisces
4470,0.41789999995708466,Pisces
4520,0.42010000001430514,Pisces
4570,0.41922727272337135,Pisces
4620,0.4194999999960986,Pisces
4670,0.4222857142458643,Pisces
4720,0.42395714284385955,Pisces
4770,0.4250599999742508,Pisces
4820,0.4268599999742508,Pisces
4870,0.21153077364224657,Pisces
4920,0.1260999964380264,Pisces
4970,0.3750999964380264,Pisces
5020,0.4104333328278859,Pisces
5070,0.42269999990701673,Pisces
5120,0.42510909096240995,Pisces
5170,0.4234999999523163,Pisces
5220,0.4267666666285197,Pisces
5270,0.4294333332951864,Pisces
5320,0.4273272727649862,Pisces
5370,0.43101818174275486,Pisces
5420,0.4338090908843821,Pisces
5470,0.4348272727194699,Pisces
5520,0.4331000000572205,Pisces
5570,0.43030000001430513,Pisces
5620,0.43014545451944525,Pisces
5670,0.43203636360515246,Pisces
5720,0.43394545455325734,Pisces
5770,0.4334000000078028,Pisces
5820,0.43603636359865017,Pisces
5870,0.4354000000143051,Pisces
5920,0.4336000000286102,Pisces
5970,0.4372636362765052,Pisces
6020,0.43882727274808014,Pisces
6070,0.43869090907400304,Pisces
6120,0.4400909090662003,Pisces
6170,0.44034545459097085,Pisces
6220,0.4379999999856949,Pisces
6270,0.4389999999856949,Pisces
6320,0.4398695652049521,Pisces
6370,0.44073913042234336,Pisces
6420,0.44368333327849707,Pisces
6470,0.4456,Pisces
6520,0.44372500008940696,Pisces
6570,0.4383545454181324,Pisces
6620,0.440899999963587,Pisces
6670,0.44099090908960864,Pisces
6720,0.4453499999308586,Pisces
6770,0.4449916667036215,Pisces
6820,0.44310909092599693,Pisces
6870,0.44450909083366397,Pisces
6920,0.44795454546624963,Pisces
6970,0.44711818183118646,Pisces
7020,0.4464363636168566,Pisces
7070,0.447799999980493,Pisces
7120,0.4458000000286102,Pisces
7170,0.44633636362465945,Pisces
7220,0.44780909088568255,Pisces
7270,0.446390909129923,Pisces
7320,0.4463363636116548,Pisces
7370,0.44883636358954687,Pisces
7420,0.4498545454883575,Pisces
7470,0.4492090908609737,Pisces
7520,0.4513181818597967,Pisces
7570,0.44870909090779043,Pisces
7620,0.4487999999986995,Pisces
7670,0.44725454547665333,Pisces
7720,0.4491571428244454,Pisces
7770,0.44942500002503394,Pisces
7820,0.44767500002503396,Pisces
7870,0.4491874999731779,Pisces
7920,0.4508692307516245,Pisces
7970,0.4520999999823937,Pisces
120,0.01001276595683808,Pisces
170,0.010140425531306166,Pisces
220,0.01026808510577425,Pisces
270,0.010395744680242335,Pisces
320,0.010523404254710421,Pisces
370,0.012499999977350235,Pisces
420,0.0205499998986721,Pisces
470,0.0417999998986721,Pisces
520,0.061188888796435456,Pisces
570,0.08057777768532434,Pisces
620,0.09996666657421324,Pisces
670,0.11452727269237692,Pisces
720,0.12184545451055874,Pisces
770,0.1296999999523163,Pisces
820,0.13969999995231627,Pisces
870,0.15227142851012093,Pisces
920,0.16512857136726378,Pisces
970,0.17798571422440665,Pisces
1020,0.18713636361924085,Pisces
1070,0.19072727271014994,Pisces
1120,0.19776923066982854,Pisces
1170,0.21861538451598242,Pisces
1220,0.22309999998728433,Pisces
1270,0.225766666653951,Pisces
1320,0.2285976744019708,Pisces
1370,0.23208604649499404,Pisces
1420,0.2355744185880173,Pisces
1470,0.23906279068104055,Pisces
1520,0.24255116277406383,Pisces
1570,0.2495130434432237,Pisces
1620,0.2568608695301802,Pisces
1670,0.2647636363241889,Pisces
1720,0.27088611109217003,Pisces
1770,0.2748583333143923,Pisces
1820,0.2788305555366145,Pisces
1870,0.2828027777588368,Pisces
1920,0.2829750000011921,Pisces
1970,0.28859999996117186,Pisces
2020,0.296345454512943,Pisces
2070,0.3033818181441047,Pisces
2120,0.31081333331839245,Pisces
2170,0.31394666665172577,Pisces
2220,0.3225384614801407,Pisces
2270,0.3308200000044505,Pisces
2320,0.32988666667111716,Pisces
2370,0.3289533333377838,Pisces
2420,0.3288222222139217,Pisces
2470,0.3305629629546625,Pisces
2520,0.33230370369540324,Pisces
2570,0.337799999961853,Pisces
2620,0.34337000000047685,Pisces
2670,0.34327000000047686,Pisces
2720,0.34317000000047687,Pisces
2770,0.34572499995827677,Pisces
2820,0.35357333333460494,Pisces
2870,0.35330666666793825,Pisces
2920,0.35604999997735026,Pisces
2970,0.357918181829886,Pisces
3020,0.35827272723978215,Pisces
3070,0.36432727271470156,Pisces
3120,0.36690666665681204,Pisces
3170,0.3689733333234787,Pisces
3220,0.37155714284317837,Pisces
3270,0.3740333333301544,Pisces
3320,0.3746999999968211,Pisces
3370,0.3775090908913179,Pisces
3420,0.38227272724671796,Pisces
3470,0.3801363636827469,Pisces
3520,0.3753444444319937,Pisces
3570,0.37795555554310484,Pisces
3620,0.3805666666542159,Pisces
3670,0.383177777765327,Pisces
3720,0.3840478260848833,Pisces
3770,0.384482608693579,Pisces
3820,0.3860888888756434,Pisces
3870,0.3888666666534212,Pisces
3920,0.3891931034517288,Pisces
3970,0.3884689655206943,Pisces
4020,0.38774482758965984,Pisces
4070,0.3892761904661996,Pisces
4120,0.3913714285614377,Pisces
4170,0.3925949999959469,Pisces
4220,0.3934449999959469,Pisces
4270,0.39348275862216947,Pisces
4320,0.3931724137945833,Pisces
4370,0.39286206896699705,Pisces
4420,0.39241904762131824,Pisces
4470,0.3919428571451278,Pisces
4520,0.3920799999980926,Pisces
4570,0.39247999999809263,Pisces
4620,0.39351538460914903,Pisces
4670,0.3956499999839067,Pisces
4720,0.3990249999839067,Pisces
4770,0.3993000000023842,Pisces
4820,0.39882307692527774,Pisces
4870,0.39913749998986725,Pisces
4920,0.4012624999898672,Pisces
4970,0.40312499999165535,Pisces
5020,0.4036818181848526,Pisces
5070,0.40115454548012125,Pisces
5120,0.3981599999879201,Pisces
5170,0.40069333332125345,Pisces
5220,0.4032799999876022,Pisces
5270,0.40496000000222526,Pisces
5320,0.40449333333555854,Pisces
5370,0.40699999998450276,Pisces
5420,0.4084636363623359,Pisces
5470,0.40878181818008424,Pisces
5520,0.4088545454562794,Pisces
5570,0.40928181817098097,Pisces
5620,0.411154545453245,Pisces
5670,0.4113750000011921,Pisces
5720,0.4111250000011921,Pisces
5770,0.41020000000476836,Pisces
5820,0.4131272727086327,Pisces
5870,0.4134727272783626,Pisces
5920,0.41419999999046325,Pisces
5970,0.413609090924263,Pisces
6020,0.4129727272575552,Pisces
6070,0.41479090909741145,Pisces
6120,0.41414615383551673,Pisces
6170,0.416376923066286,Pisces
6220,0.41427500001231826,Pisces
6270,0.4154923076787362,Pisces
6320,0.4166461538527562,Pisces
6370,0.415666666653951,Pisces
6420,0.4183333333206177,Pisces
6470,0.4187636363627694,Pisces
6520,0.4172000000095367,Pisces
6570,0.4168363636328957,Pisces
6620,0.4183818181705475,Pisces
6670,0.4192909090969779,Pisces
6720,0.42028181815190746,Pisces
6770,0.4249181818272851,Pisces
6820,0.4232499999976158,Pisces
6870,0.4237499999976158,Pisces
6920,0.4261399999876022,Pisces
6970,0.4264,Pisces
7020,0.42610909091082483,Pisces
7070,0.42739999999046324,Pisces
7120,0.42655000001311305,Pisces
7170,0.425933333321015,Pisces
7220,0.4278666666698456,Pisces
7270,0.4272000000031789,Pisces
7320,0.4281999999952316,Pisces
7370,0.4251333333528042,Pisces
7420,0.42486363635279917,Pisces
7470,0.42390909092903134,Pisces
7520,0.42223333332339924,Pisces
7570,0.42434999998927114,Pisces
7620,0.4265999999892711,Pisces
7670,0.42709999999761583,Pisces
7720,0.42806363635756756,Pisces
7770,0.4301999999856949,Pisces
7820,0.4323999999952316,Pisces
7870,0.43236363637534053,Pisces
7920,0.43054545454198667,Pisces
7970,0.4311083333377044,Pisces
120.0,0.010153191474752223,Pisces
170.0,0.011685106368369244,Pisces
220.0,0.013217021261986265,Pisces
270.0,0.014748936155603284,Pisces
320.0,0.016280851049220307,Pisces
370.0,0.015633333370685582,Pisces
420.0,0.01488461527090805,Pisces
470.0,0.026807692193984975,Pisces
520.0,0.04867428549521308,Pisces
570.0,0.07164571406664166,Pisces
620.0,0.09461714263807024,Pisces
670.0,0.11145454538171941,Pisces
720.0,0.11909090901808306,Pisces
770.0,0.12658461531859178,Pisces
820.0,0.13350769224166872,Pisces
870.0,0.14481999988746644,Pisces
920.0,0.15661999988746644,Pisces
970.0,0.16841999988746642,Pisces
1020.0,0.17948181808688424,Pisces
1070.0,0.18943636354142968,Pisces
1120.0,0.20003076910532436,Pisces
1170.0,0.21318461525917054,Pisces
1220.0,0.22994999983628592,Pisces
1270.0,0.2359086206786386,Pisces
1320.0,0.2370637930924317,Pisces
1370.0,0.2382189655062248,Pisces
1420.0,0.23937413792001788,Pisces
1470.0,0.240529310333811,Pisces
1520.0,0.2416844827476041,Pisces
1570.0,0.25244999988714856,Pisces
1620.0,0.263890908983404,Pisces
1670.0,0.270599999965032,Pisces
1720.0,0.27426666663169863,Pisces
1770.0,0.27793333329836534,Pisces
1820.0,0.281599999965032,Pisces
1870.0,0.29033333325004584,Pisces
1920.0,0.2961615384336619,Pisces
1970.0,0.3007363635297256,Pisces
2020.0,0.3108999999904633,Pisces
2070.0,0.31189999999046325,Pisces
2120.0,0.32205882342282466,Pisces
2170.0,0.3318666666253408,Pisces
2220.0,0.3361999999586741,Pisces
2270.0,0.3385448275638449,Pisces
2320.0,0.3408896551500518,Pisces
2370.0,0.34339999996185305,Pisces
2420.0,0.34739999996185306,Pisces
2470.0,0.3493518518416087,Pisces
2520.0,0.3504259259156828,Pisces
2570.0,0.3514999999897568,Pisces
2620.0,0.355086206862351,Pisces
2670.0,0.3586724137589027,Pisces
2720.0,0.3621166666460037,Pisces
2770.0,0.3642833333126704,Pisces
2820.0,0.36186428574221474,Pisces
2870.0,0.36573333323160806,Pisces
2920.0,0.3731181818207827,Pisces
2970.0,0.3742272726639834,Pisces
3020.0,0.3805636363289573,Pisces
3070.0,0.3841999999653209,Pisces
3120.0,0.3852909090805054,Pisces
3170.0,0.3913999999364217,Pisces
3220.0,0.392741176479564,Pisces
3270.0,0.39180000000897575,Pisces
3320.0,0.3933833333182335,Pisces
3370.0,0.3969727272337133,Pisces
3420.0,0.397372727283998,Pisces
3470.0,0.3978599999847412,Pisces
3520.0,0.3994599999847412,Pisces
3570.0,0.40103478259584174,Pisces
3620.0,0.4023826086827983,Pisces
3670.0,0.40373043476975484,Pisces
3720.0,0.40407272727186033,Pisces
3770.0,0.4041636363627694,Pisces
3820.0,0.40478421051703,Pisces
3870.0,0.4057578947275563,Pisces
3920.0,0.40673157893808265,Pisces
3970.0,0.40770526314860894,Pisces
4020.0,0.41216666661580403,Pisces
4070.0,0.4119900000367165,Pisces
4120.0,0.40814000003671647,Pisces
4170.0,0.4087857142509733,Pisces
4220.0,0.41187499999165533,Pisces
