round,accuracy,elapsed_time,round_time,round_time
1,0.050486880606322254,115.00000047683716,115,115
2,0.06533314145920276,350.00000047683716,350,350
3,0.05463615867990598,405.00000047683716,350,350
4,0.07961577205353289,470.00000047683716,350,350
5,0.11501654914376169,625.0000004768372,165,165
6,0.08705089461313378,790.0000004768372,350,350
7,0.11934570921475512,975.0000004768372,350,350
8,0.16257734925888617,1045.0000004768372,350,350
9,0.17128363793351561,1155.0000004768372,350,350
10,0.18896004221230872,1325.0000004768372,350,350
11,0.1984458195423802,1395.0000004768372,350,350
12,0.20827936873411043,1505.0000004768372,350,350
13,0.26236388928862664,1675.0000004768372,350,350
14,0.2752914088358037,1745.0000004768372,350,350
15,0.2724852496762124,1825.0000004768372,350,350
16,0.28911833837002926,1900.0000004768372,350,350
17,0.3182592219504005,2095.000000476837,350,350
18,0.2989039190291169,2250.000000476837,350,350
19,0.3410682592219504,2320.000000476837,350,350
20,0.35959610495514943,2435.000000476837,340,340
21,0.35752146591835754,2515.000000476837,350,350
22,0.3708567179929966,2670.000000476837,350,350
23,0.4004173262339905,2785.000000476837,350,350
24,0.3904638557106538,2865.000000476837,350,350
25,0.4183215810428359,3020.000000476837,350,350
26,0.4303257063366432,3135.000000476837,350,350
27,0.42730368878016023,3215.000000476837,350,350
28,0.4150117522904974,3370.000000476837,350,350
29,0.4648150813066628,3425.000000476837,350,350
30,0.47817431764762314,3485.000000476837,350,350
31,0.47491245742792726,3740.000000476837,350,350
32,0.4463352041061064,3835.000000476837,350,350
33,0.46062982683359716,3895.000000476837,350,350
34,0.4569122655537967,4090.000000476837,350,350
35,0.4917733966517964,4185.000000476837,350,350
36,0.509161989734734,4260.000000476837,350,350
37,0.4919173022497242,4440.000000476837,350,350
38,0.5221734542140356,4600.000000476837,350,350
39,0.512387873554948,4710.000000476837,350,350
40,0.49517916246942006,4790.000000476837,350,350
41,0.5432196479109704,4950.000000476837,350,350
42,0.5049047824627044,5105.000000476837,350,350
43,0.515913560704178,5235.000000476837,350,350
44,0.5042572072720295,5310.000000476837,350,350
45,0.4982251642922243,5455.000000476837,350,350
46,0.5265985513503142,5585.000000476837,350,350
47,0.5700100733918549,5655.000000476837,350,350
48,0.5458699093394733,5805.000000476837,350,350
49,0.5618074543099727,6005.000000476837,350,350
50,0.5582098143617786,6065.000000476837,350,350
51,0.5804911977742601,6155.000000476837,350,350
52,0.5575502470379431,6355.000000476837,350,350
53,0.5600805871348395,6415.000000476837,350,350
54,0.565393102125006,6505.000000476837,350,350
55,0.5638701012136039,6640.000000476837,350,350
56,0.5177723413440782,6725.000000476837,350,350
57,0.5451743656161558,6855.000000476837,350,350
58,0.5862114452918885,6915.000000476837,350,350
59,0.6099318846836476,7065.000000476837,350,350
60,0.5795318271214084,7205.000000476837,350,350
61,0.5906245502950065,7295.000000476837,350,350
62,0.6026286755888137,7555.000000476837,350,350
63,0.588334052861323,7645.000000476837,350,350
64,0.5916438816136614,7905.000000476837,350,350
65,0.6020170767976207,7995.000000476837,350,350
66,0.5872427687437042,8115.000000476837,350,350
67,0.6068259221950401,8255.000000476837,350,350
68,0.5897491245742793,8400.000000476837,350,350
69,0.6086007579028158,8495.000000476837,350,350
70,0.62759629682928,8605.000000476837,350,350
71,0.6406317455749029,8750.000000476837,350,350
72,0.6101357509473785,8845.000000476837,350,350
73,0.6139852256919461,8995.000000476837,350,350
74,0.6198733630738236,9100.000000476837,350,350
75,0.6216721830479206,9195.000000476837,350,350
76,0.6345637261956156,9375.000000476837,350,350
77,0.6118626181225116,9450.000000476837,350,350
78,0.6114668777282103,9545.000000476837,350,350
