round,accuracy,elapsed_time,comm_time,round_time
1,0.06421787307526262,65.00000047683716,0,65
2,0.07086151484626085,125.00000047683716,0,100
3,0.08992900657168897,185.00000047683716,0,150
4,0.11133496426344318,240.00000047683716,0,110
5,0.10784525351369502,295.00000047683716,0,275
6,0.1521681776754449,350.00000047683716,0,350
7,0.18246030603923827,440.00000047683716,0,350
8,0.20507746918021777,590.0000004768372,0,350
9,0.20452583105482802,675.0000004768372,0,350
10,0.2358252986041157,730.0000004768372,0,350
11,0.2442677603492109,795.0000004768372,0,350
12,0.2552765385906845,1025.0000004768372,0,350
13,0.2750035976399482,1080.0000004768372,0,350
14,0.28273852352856527,1135.0000004768372,0,350
15,0.31331846308821415,1190.0000004768372,0,350
16,0.3475320189955389,1255.0000004768372,0,90
17,0.3567539693960762,1320.0000004768372,0,225
18,0.37441838154170864,1385.0000004768372,0,350
19,0.3676907948385859,1485.0000004768372,0,350
20,0.39390559792775937,1550.0000004768372,0,350
21,0.4283829807646184,1670.0000004768372,0,350
22,0.39605218976351514,1735.0000004768372,0,350
23,0.45155178203098767,1790.0000004768372,0,350
24,0.44012327912889143,1845.0000004768372,0,350
25,0.4643713723797189,1900.0000004768372,0,350
26,0.4797332949585072,1955.0000004768372,0,350
27,0.4811363745383029,2015.0000004768372,0,340
28,0.4312371084568523,2070.000000476837,0,235
29,0.4952391231352233,2125.000000476837,0,350
30,0.5133472442077996,2185.000000476837,0,350
31,0.5014390559792776,2250.000000476837,0,350
32,0.5015709694440447,2305.000000476837,0,350
33,0.5310236484865928,2360.000000476837,0,195
34,0.5295965846404759,2415.000000476837,0,350
35,0.5441550342975009,2470.000000476837,0,350
36,0.5560512303928623,2525.000000476837,0,105
37,0.5473449417182329,2580.000000476837,0,350
38,0.5406773156809134,2650.000000476837,0,70
39,0.5599726579363937,2705.000000476837,0,350
40,0.556974624646232,2765.000000476837,0,70
41,0.5706456564493693,2820.000000476837,0,350
42,0.5493236436897395,2875.000000476837,0,350
43,0.5594090276778433,2930.000000476837,0,350
44,0.5648414639996162,2985.000000476837,0,350
45,0.5601885163332854,3040.000000476837,0,350
46,0.5471770518539838,3095.000000476837,0,350
47,0.5695303880654291,3150.000000476837,0,350
