round,accuracy,elapsed_time,round_time,round_time
1,0.05082266033482036,115.00000047683716,115,115
2,0.06686813450376553,350.00000047683716,350,350
3,0.059253129946754926,405.00000047683716,350,350
4,0.08136662349498729,470.00000047683716,350,350
5,0.084328680385667,625.0000004768372,165,165
6,0.07003405765817623,790.0000004768372,350,350
7,0.10044610735357605,975.0000004768372,350,350
8,0.13692617642826305,1045.0000004768372,350,350
9,0.14253849474744568,1155.0000004768372,350,350
10,0.15144864968580612,1325.0000004768372,350,350
11,0.16997649541900514,1395.0000004768372,350,350
12,0.17684798772005564,1505.0000004768372,350,350
13,0.22607569434451,1675.0000004768372,350,350
14,0.23156809133208614,1745.0000004768372,350,350
15,0.2583944932124526,1825.0000004768372,350,350
16,0.24637837578548472,1900.0000004768372,350,350
17,0.2615844006331846,2095.000000476837,350,350
18,0.1837074878879455,2250.000000476837,350,350
19,0.3015301961912985,2320.000000476837,350,350
20,0.2929678131145968,2435.000000476837,340,340
21,0.3180433635535089,2515.000000476837,350,350
22,0.34786779872403706,2670.000000476837,350,350
23,0.3517172734686046,2785.000000476837,350,350
24,0.3705329303976591,2865.000000476837,350,350
25,0.38643449896867654,3020.000000476837,350,350
26,0.3952247325754305,3135.000000476837,350,350
27,0.38955245359044466,3215.000000476837,350,350
28,0.37209190770854317,3370.000000476837,350,350
29,0.41031083609152397,3425.000000476837,350,350
30,0.4378087974288867,3485.000000476837,350,350
31,0.42135559073247947,3740.000000476837,350,350
32,0.38679426296349595,3835.000000476837,350,350
33,0.42630834172782656,3895.000000476837,350,350
34,0.4604259605698662,4090.000000476837,350,350
35,0.46247661534033674,4185.000000476837,350,350
36,0.4805247757471099,4260.000000476837,350,350
37,0.4693361155082266,4440.000000476837,350,350
38,0.5016549143761693,4600.000000476837,350,350
39,0.49085000239842663,4710.000000476837,350,350
40,0.484458195423802,4790.000000476837,350,350
41,0.5133112678083177,4950.000000476837,350,350
42,0.4351105674677412,5105.000000476837,350,350
43,0.52355254952751,5235.000000476837,350,350
44,0.5361922578788315,5310.000000476837,350,350
45,0.47190243200460497,5455.000000476837,350,350
46,0.5249436369741449,5585.000000476837,350,350
47,0.5528493308389696,5655.000000476837,350,350
48,0.5407492684798773,5805.000000476837,350,350
49,0.5510265265985513,6005.000000476837,350,350
50,0.5444068690938744,6065.000000476837,350,350
51,0.5705257351177627,6155.000000476837,350,350
52,0.5466853743943972,6355.000000476837,350,350
53,0.5086343358756655,6415.000000476837,350,350
54,0.5416606706000864,6505.000000476837,350,350
55,0.5640979517436562,6640.000000476837,350,350
56,0.5571065381109992,6725.000000476837,350,350
57,0.5652491965270783,6855.000000476837,350,350
58,0.5746390367918646,6915.000000476837,350,350
59,0.5831654434690843,7065.000000476837,350,350
60,0.5734877920084425,7205.000000476837,350,350
61,0.5758022737084473,7295.000000476837,350,350
62,0.5862474216913705,7555.000000476837,350,350
63,0.5434834748405046,7645.000000476837,350,350
64,0.5774332038182952,7905.000000476837,350,350
65,0.6007698949489135,7995.000000476837,350,350
66,0.5618794071089366,8115.000000476837,350,350
67,0.5397419292943829,8255.000000476837,350,350
68,0.5916198973473401,8400.000000476837,350,350
69,0.5990670120401017,8495.000000476837,350,350
70,0.60088981628052,8605.000000476837,350,350
71,0.6161677939271838,8750.000000476837,350,350
72,0.5920995826737661,8845.000000476837,350,350
73,0.5940423082457907,8995.000000476837,350,350
74,0.5955053484913897,9100.000000476837,350,350
75,0.6106993812059289,9195.000000476837,350,350
76,0.6198014102748597,9375.000000476837,350,350
77,0.5918357557442318,9450.000000476837,350,350
78,0.5986352952463184,9545.000000476837,350,350
79,0.5676716074255288,9615.000000476837,350,350
80,0.6041756607665372,9800.000000476837,350,350
81,0.614093154890392,9900.000000476837,350,350
82,0.6101717273468604,9965.000000476837,350,350
83,0.6137333908955726,10095.000000476837,350,350
84,0.6174629443085337,10155.000000476837,350,350
85,0.6307622199836908,10250.000000476837,350,350
86,0.6274763754976735,10330.000000476837,350,350
87,0.6316376457044179,10600.000000476837,350,350
88,0.6257495083225404,10680.000000476837,350,350
89,0.624778145536528,10745.000000476837,350,350
90,0.618842039622008,10950.000000476837,350,350
91,0.6099079004173262,11030.000000476837,350,350
92,0.6267328632417134,11095.000000476837,350,350
93,0.6467717177531539,11300.000000476837,350,350
94,0.6311339761116708,11380.000000476837,350,350
