Elapsed_time,Accuracy (%),Method
30,0.22218226652444112,Pisces
60,0.29715389773011486,Pisces
90,0.42405553984642025,Pisces
120,0.5302833308796088,Pisces
150,0.5751696955211235,Pisces
180,0.5874518513330708,Pisces
210,0.5945141416098132,Pisces
240,0.6071082115940426,Pisces
270,0.619601182151179,Pisces
300,0.6166295509455052,Pisces
330,0.6275999985923671,Pisces
360,0.626618518557519,Pisces
390,0.6251292937818199,Pisces
420,0.6216222222398828,Pisces
450,0.6255362318299242,Pisces
480,0.6277777776188321,Pisces
30,0.261148697534746,Pisces
60,0.33126217271205094,Pisces
90,0.4600515054933952,Pisces
120,0.5457873854322118,Pisces
150,0.5889252514458666,Pisces
180,0.5935395056194729,Pisces
210,0.6087050501654847,Pisces
240,0.6153277773194843,Pisces
270,0.6194249041663277,Pisces
300,0.620942145545638,Pisces
330,0.6112666663063897,Pisces
360,0.622599999639723,Pisces
390,0.6199592595924566,Pisces
420,0.6127425919974292,Pisces
450,0.6230555555661519,Pisces
480,0.6210638891630702,Pisces
30,0.22563924188095344,Pisces
60,0.3274264759235066,Pisces
90,0.4104814769426981,Pisces
120,0.5310092577470673,Pisces
150,0.5776919188350138,Pisces
180,0.5958135799309354,Pisces
210,0.6089101010175667,Pisces
240,0.6175833333355409,Pisces
270,0.6177164750925882,Pisces
300,0.6179176245178756,Pisces
330,0.6212111111534967,Pisces
360,0.61854444448683,Pisces
390,0.6181130718084722,Pisces
420,0.6229000002437168,Pisces
450,0.6219274075799518,Pisces
480,0.6162873014489809,Pisces
30,0.2579787206005168,Polaris
60,0.36519460320649316,Polaris
90,0.4832177769440545,Polaris
120,0.5896070700944072,Polaris
150,0.6032696956268464,Polaris
180,0.6149074081420899,Polaris
210,0.6163333323763985,Polaris
240,0.6104636361189563,Polaris
270,0.6067696961239131,Polaris
300,0.6171636361863878,Polaris
330,0.6114969697961904,Polaris
360,0.6172626265516185,Polaris
390,0.6190055555608538,Polaris
420,0.6170437504602803,Polaris
450,0.622308332820292,Polaris
480,0.6182397304069314,Polaris
30,0.43746203242805265,Polaris
60,0.5358222234904164,Polaris
90,0.6015914528052012,Polaris
120,0.6046343437252623,Polaris
150,0.6083252524568578,Polaris
180,0.6142803421778557,Polaris
210,0.6143666667403597,Polaris
240,0.6124914526356591,Polaris
270,0.6142376070038885,Polaris
300,0.6180709402121031,Polaris
330,0.6193666541171781,Polaris
360,0.6212092592265871,Polaris
390,0.6191805555860201,Polaris
420,0.6058777780939961,Polaris
450,0.6162444443384806,Polaris
480,0.6219083329293462,Polaris
30,0.40324536314297604,Polaris
60,0.5557083309908708,Polaris
90,0.5806939416683081,Polaris
120,0.6041843129368389,Polaris
150,0.6039222216566404,Polaris
180,0.6027272732626308,Polaris
210,0.6119962958836996,Polaris
240,0.6210018513558088,Polaris
270,0.6204363639636473,Polaris
300,0.618866666785876,Polaris
330,0.6183613526245246,Polaris
360,0.6165717169455808,Polaris
390,0.6164939398765564,Polaris
420,0.622920202023092,Polaris
450,0.6218000003496805,Polaris
480,0.6223285713112544,Polaris
30,0.274506854077152,FedBuff
60,0.38239337889984704,FedBuff
90,0.45881281044911115,FedBuff
120,0.5542204299060247,FedBuff
150,0.5435303032745015,FedBuff
180,0.5669696690728356,FedBuff
210,0.6029702019973235,FedBuff
240,0.6079601305079616,FedBuff
270,0.6211055553568734,FedBuff
300,0.6292676766674928,FedBuff
330,0.6365666665501064,FedBuff
360,0.6465097223778566,FedBuff
390,0.630850142153172,FedBuff
420,0.6481250899805391,FedBuff
450,0.6245444448192488,FedBuff
480,0.6401024157247681,FedBuff
30,0.2453430247369951,FedBuff
60,0.404860755233449,FedBuff
90,0.4352606786681037,FedBuff
120,0.5578641573652999,FedBuff
150,0.5487316499869029,FedBuff
180,0.5627144142064247,FedBuff
210,0.5960005049523681,FedBuff
240,0.6072679737867094,FedBuff
270,0.6171825395572753,FedBuff
300,0.6184217172113332,FedBuff
330,0.6338833332048522,FedBuff
360,0.6435652777072456,FedBuff
390,0.6265994301310971,FedBuff
420,0.6353978493463182,FedBuff
450,0.6499999998839525,FedBuff
480,0.638907246357001,FedBuff
30,0.24153002029519266,FedBuff
60,0.3818491692313629,FedBuff
90,0.4562196447896143,FedBuff
120,0.5482118274770758,FedBuff
150,0.5451104378951519,FedBuff
180,0.553489489149904,FedBuff
210,0.5908742419737758,FedBuff
240,0.6063999998172124,FedBuff
270,0.6178841262552474,FedBuff
300,0.6053131320536739,FedBuff
330,0.6244735289136569,FedBuff
360,0.6366527777519492,FedBuff
390,0.6241575500346317,FedBuff
420,0.6178856624330671,FedBuff
450,0.6451222215728522,FedBuff
480,0.6425159413323887,FedBuff
