Elapsed time (s),Loss,Method
400,42.074893999710646,Polaris
410,40.25035668175623,Polaris
420,38.425819363801814,Polaris
430,37.38235036014954,Polaris
440,37.11994996875338,Polaris
450,36.857549577357226,Polaris
460,36.59514918596107,Polaris
470,36.332748794564914,Polaris
480,36.07034840316876,Polaris
490,35.577680852581416,Polaris
500,35.08501328003408,Polaris
510,34.59234570748675,Polaris
520,34.09967813493941,Polaris
530,33.60701056239208,Polaris
540,33.32788389985989,Polaris
550,33.262298228802265,Polaris
560,33.19671255774463,Polaris
570,33.13112688668701,Polaris
580,33.06554121562937,Polaris
590,32.99995554457175,Polaris
600,32.95104799983994,Polaris
610,32.90214045669868,Polaris
620,32.85323291355743,Polaris
630,32.804325370416166,Polaris
640,32.75541782727491,Polaris
650,32.596576141506254,Polaris
660,32.32780027117364,Polaris
670,32.059024400841025,Polaris
680,31.79024853050841,Polaris
690,31.5214726601758,Polaris
700,31.252696789843185,Polaris
710,31.06446393481402,Polaris
720,30.956774125813038,Polaris
730,30.849084316812053,Polaris
740,30.74139450781107,Polaris
750,30.633704698810085,Polaris
760,30.5260148898091,Polaris
770,30.418325080808117,Polaris
780,30.310635271807133,Polaris
790,30.20294546280615,Polaris
800,30.095255653805165,Polaris
810,29.98756584480418,Polaris
820,29.908559527043167,Polaris
830,29.82955321201762,Polaris
840,29.750546896992073,Polaris
850,29.67154058196653,Polaris
860,29.592534266940984,Polaris
870,29.51352795191544,Polaris
880,29.434521636889894,Polaris
890,29.35551532186435,Polaris
900,29.276509006838804,Polaris
910,29.19750269181326,Polaris
920,29.154640142402073,Polaris
930,29.147921372393007,Polaris
940,29.14120260238394,Polaris
950,29.134483832374872,Polaris
960,29.127765062365807,Polaris
970,29.12104629235674,Polaris
980,28.9647911703802,Polaris
990,28.808536034142755,Polaris
1000,28.65228089790531,Polaris
1010,28.496025761667866,Polaris
1020,28.339770625430425,Polaris
1030,28.18351548919298,Polaris
1040,28.130791494449095,Polaris
1050,28.078067509578712,Polaris
1060,28.025343524708326,Polaris
1070,27.972619539837943,Polaris
1080,27.919895554967557,Polaris
1090,27.836447718758233,Polaris
1100,27.72227601948975,Polaris
1110,27.60810432022127,Polaris
1120,27.493932620952787,Polaris
1130,27.3797609216843,Polaris
1140,27.26558922241582,Polaris
1150,27.2387542562111,Polaris
1160,27.21191929833546,Polaris
1170,27.18508434045982,Polaris
1180,27.158249382584177,Polaris
1190,27.131414424708538,Polaris
1200,27.073213688156823,Polaris
1210,26.983647160963937,Polaris
1220,26.89408063377105,Polaris
1230,26.804514106578164,Polaris
1240,26.714947579385278,Polaris
1250,26.62538105219239,Polaris
1260,26.535814524999505,Polaris
1270,26.54952021154243,Polaris
1280,26.563225907934157,Polaris
1290,26.576931604325885,Polaris
1300,26.590637300717614,Polaris
1310,26.60434299710934,Polaris
1320,26.618048693501073,Polaris
1330,26.546195702202816,Polaris
1340,26.474342702745044,Polaris
1350,26.402489703287277,Polaris
1360,26.330636703829505,Polaris
1370,26.258783704371737,Polaris
1380,26.186930704913966,Polaris
1390,26.18210826686925,Polaris
1400,26.177285835217067,Polaris
1410,26.17246340356488,Polaris
1420,26.167640971912697,Polaris
1430,26.162818540260513,Polaris
1440,26.15799610860833,Polaris
1450,26.153173676956143,Polaris
1460,26.14835124530396,Polaris
1470,26.143528813651777,Polaris
1480,26.13870638199959,Polaris
1490,26.133883950347407,Polaris
1500,26.133021911548067,Polaris
1510,26.13215987312642,Polaris
1520,26.13129783470477,Polaris
1530,26.130435796283123,Polaris
1540,26.129573757861476,Polaris
1550,26.09395014747402,Polaris
1560,26.023564951860266,Polaris
1570,25.953179756246513,Polaris
1580,25.88279456063276,Polaris
1590,25.812409365019008,Polaris
1600,25.742024169405255,Polaris
1610,25.747827019600592,Polaris
1620,25.75362987706179,Polaris
1630,25.75943273452299,Polaris
1640,25.765235591984183,Polaris
1650,25.77103844944538,Polaris
1660,25.796361150110556,Polaris
1670,25.841203701425936,Polaris
1680,25.886046252741316,Polaris
1690,25.930888804056696,Polaris
1700,25.97573135537208,Polaris
1710,26.02057390668746,Polaris
1720,25.945633095503705,Polaris
1730,25.870692272896516,Polaris
1740,25.795751450289327,Polaris
1750,25.720810627682138,Polaris
1760,25.64586980507495,Polaris
1770,25.607545325985395,Polaris
1780,25.605837204381505,Polaris
1790,25.604129082777614,Polaris
1800,25.60242096117372,Polaris
1810,25.60071283956983,Polaris
1820,25.59900471796594,Polaris
1830,25.546909035288873,Polaris
1840,25.494813347806478,Polaris
1850,25.442717660324078,Polaris
1860,25.39062197284168,Polaris
1870,25.338526285359283,Polaris
1880,25.337704142788613,Polaris
1890,25.38815556468898,Polaris
1900,25.438606986589345,Polaris
1910,25.48905840848971,Polaris
1920,25.53950983039008,Polaris
1930,25.589961252290447,Polaris
1940,25.62566822373035,Polaris
1950,25.661375193764112,Polaris
1960,25.697082163797877,Polaris
1970,25.732789133831638,Polaris
1980,25.768496103865402,Polaris
1990,25.801374487129014,Polaris
400,42.786358984912624,Polaris
410,40.942522793157494,Polaris
420,39.09868660140237,Polaris
430,38.03460902106077,Polaris
440,37.75029027522342,Polaris
450,37.46597152938608,Polaris
460,37.181652783548735,Polaris
470,36.897334037711396,Polaris
480,36.61301529187405,Polaris
490,36.19377371605646,Polaris
500,35.77453213058844,Polaris
510,35.35529054512042,Polaris
520,34.936048959652396,Polaris
530,34.51680737418437,Polaris
540,34.24172551679242,Polaris
550,34.11080342872099,Polaris
560,33.979881340649555,Polaris
570,33.84895925257812,Polaris
580,33.71803716450668,Polaris
590,33.587115076435246,Polaris
600,33.580619109591666,Polaris
610,33.57412315164773,Polaris
620,33.5676271937038,Polaris
630,33.56113123575987,Polaris
640,33.55463527781594,Polaris
650,33.38557939653122,Polaris
660,33.05396354539695,Polaris
670,32.72234769426267,Polaris
680,32.39073184312839,Polaris
690,32.05911599199412,Polaris
700,31.727500140859842,Polaris
710,31.503081438062,Polaris
720,31.38585991426995,Polaris
730,31.268638390477896,Polaris
740,31.151416866685846,Polaris
750,31.034195342893796,Polaris
760,30.91697381910174,Polaris
770,30.79975229530969,Polaris
780,30.682530771517637,Polaris
790,30.565309247725587,Polaris
800,30.448087723933533,Polaris
810,30.330866200141482,Polaris
820,30.253138669655637,Polaris
830,30.175411141994623,Polaris
840,30.097683614333608,Polaris
850,30.019956086672597,Polaris
860,29.942228559011582,Polaris
870,29.864501031350567,Polaris
880,29.786773503689552,Polaris
890,29.70904597602854,Polaris
900,29.631318448367526,Polaris
910,29.55359092070651,Polaris
920,29.503737674373422,Polaris
930,29.481758717343155,Polaris
940,29.459779760312884,Polaris
950,29.437800803282617,Polaris
960,29.415821846252346,Polaris
970,29.39384288922208,Polaris
980,29.242525283802063,Polaris
990,29.09120766913103,Polaris
1000,28.939890054459998,Polaris
1010,28.788572439788965,Polaris
1020,28.63725482511793,Polaris
1030,28.4859372104469,Polaris
1040,28.423122516174043,Polaris
1050,28.36030782823141,Polaris
1060,28.297493140288775,Polaris
1070,28.23467845234614,Polaris
1080,28.171863764403508,Polaris
1090,28.069787979529742,Polaris
1100,27.92845108649216,Polaris
1110,27.787114193454574,Polaris
1120,27.64577730041699,Polaris
1130,27.504440407379406,Polaris
1140,27.363103514341823,Polaris
1150,27.351564907784596,Polaris
1160,27.340026310511263,Polaris
1170,27.32848771323793,Polaris
1180,27.3169491159646,Polaris
1190,27.305410518691268,Polaris
1200,27.234650484845545,Polaris
1210,27.104668997484048,Polaris
1220,26.97468751012255,Polaris
1230,26.844706022761052,Polaris
1240,26.71472453539955,Polaris
1250,26.584743048038053,Polaris
1260,26.454761560676555,Polaris
1270,26.481057021904725,Polaris
1280,26.507352494310688,Polaris
1290,26.53364796671665,Polaris
1300,26.559943439122613,Polaris
1310,26.586238911528575,Polaris
1320,26.612534383934538,Polaris
1330,26.535552652410146,Polaris
1340,26.458570913498793,Polaris
1350,26.38158917458744,Polaris
1360,26.304607435676086,Polaris
1370,26.227625696764733,Polaris
1380,26.150643957853383,Polaris
1390,26.153450133158383,Polaris
1400,26.15625631417026,Polaris
1410,26.159062495182138,Polaris
1420,26.161868676194015,Polaris
1430,26.164674857205892,Polaris
1440,26.16748103821777,Polaris
1450,26.170287219229643,Polaris
1460,26.17309340024152,Polaris
1470,26.175899581253397,Polaris
1480,26.178705762265274,Polaris
1490,26.18151194327715,Polaris
1500,26.169792271055066,Polaris
1510,26.158072597794007,Polaris
1520,26.14635292453295,Polaris
1530,26.134633251271893,Polaris
1540,26.122913578010834,Polaris
1550,26.097471867611752,Polaris
1560,26.058308116148734,Polaris
1570,26.01914436468571,Polaris
1580,25.979980613222693,Polaris
