round,elapsed_time,accuracy
1,80.00000071525574,139.4172050578614
2,140.00000071525574,80.8465450790371
3,195.00000071525574,82.44459905319479
4,250.00000071525574,59.126657090591536
5,350.00000071525574,59.080859931980534
6,545.0000007152557,57.983818182259625
7,600.0000007152557,49.67669632677511
8,655.0000007152557,44.990884550965056
9,710.0000007152557,43.60764824708374
10,765.0000007152557,40.56448859521857
11,820.0000007152557,37.84629167889057
12,885.0000007152557,36.222783564375746
13,945.0000007152557,36.77558153704805
14,1000.0000007152557,36.268688039312245
15,1055.0000007152557,34.63903555033355
16,1110.0000007152557,33.98242979470916
17,1165.0000007152557,33.791557100796716
18,1220.0000007152557,32.5851582541052
19,1360.0000007152557,31.21370965841573
20,1460.0000007152557,30.377805608503124
21,1520.0000007152557,30.294181594622014
22,1575.0000007152557,30.19418265901065
23,1630.0000007152557,29.24227272261528
24,1710.0000007152557,29.43014590136796
25,1765.0000007152557,29.097907532361724
26,1820.0000007152557,28.98769980575877
27,1875.0000007152557,28.670325050760024
28,1930.0000007152557,29.38785863222593
29,1985.0000007152557,28.772444869131984
30,2040.0000007152557,29.369317982652422
31,2095.0000007152557,29.67785441107854
32,2150.0000007152557,29.96676773505332
33,2205.0000007152557,28.241752764547535
34,2260.0000007152557,29.675427527417558
35,2335.0000007152557,28.204696491159257
36,2390.0000007152557,28.24703894568308
37,2445.0000007152557,28.619015619996784
38,2500.0000007152557,29.050244486986397
39,2555.0000007152557,29.544987074003114
40,2610.0000007152557,26.32208060129352
41,2610.0000007152557,28.140087411938854
42,2715.0000007152557,26.176468764885954
43,2960.0000007152557,24.390892735308704
44,3015.0000007152557,24.16566797482157
45,3065.0000007152557,24.345790762968097
46,3125.0000007152557,23.763496989940045
47,3185.0000007152557,23.756251716573516
48,3245.0000007152557,23.562557578238053
49,3305.0000007152557,25.95107898604993
50,3360.0000007152557,26.532955033238004
51,3415.0000007152557,26.496877389969036
52,3470.0000007152557,26.55172443487666
53,3490.0000007152557,23.176860360971865
54,3555.0000007152557,27.0245002111959
55,3610.0000007152557,23.945577090821754
56,3665.0000007152557,24.585170370852662
57,3690.0000007152557,22.963289399024926
58,3730.0000007152557,24.98724340481469
59,3760.0000007152557,25.51280100656339
60,3815.0000007152557,24.997653190692144
61,3825.0000007152557,22.9941446052071
62,3880.0000007152557,25.91964839887398
63,3935.0000007152557,23.2843812360648
64,3955.0000007152557,22.561239079232163
65,4010.0000007152557,25.30839309496354
66,4060.0000007152557,23.64990658868468
67,4080.0000007152557,24.543676264125747
68,4135.000000715256,26.20248775323998
69,4170.000000715256,23.037637852142076
70,4195.000000715256,26.078308282461496
71,4235.000000715256,23.185769653033507
72,4275.000000715256,22.148198190579787
73,4330.000000715256,25.694362510225567
74,4340.000000715256,23.296542040295684
75,4395.000000715256,27.093484636090135
76,4420.000000715256,22.844976600968295
77,4455.000000715256,22.797851691165523
78,4495.000000715256,23.220167739803227
79,4550.000000715256,23.59353172969673
80,4560.000000715256,22.493425710427406
81,4610.000000715256,22.88214762999364
82,4625.000000715256,23.01270944844675
83,4680.000000715256,23.612220205065352
84,4690.000000715256,23.153895493967955
85,4745.000000715256,23.013022190048616
86,4800.000000715256,25.81174080140738
87,4855.000000715256,25.728476400940195
88,4910.000000715256,26.260531839477906
89,4965.000000715256,26.769358926208408
90,5020.000000715256,26.22768215958859
91,5075.000000715256,30.47546257292512
92,5085.000000715256,23.843380777872976
93,5140.000000715256,26.65651562281265
94,5185.000000715256,23.225178468419386
95,5200.000000715256,25.262552192320246
96,5250.000000715256,24.796456263275406
97,5260.000000715256,28.656035502668782
98,5315.000000715256,25.313818234368178
99,5320.000000715256,25.136671671669966
100,5380.000000715256,26.57003833532891
