round,elapsed_time,accuracy
1,65.00000047683716,92.73589295007233
2,125.00000047683716,66.40739432805326
3,185.00000047683716,53.53642037117962
4,255.00000047683716,46.061579281556156
5,315.00000047683716,42.56504200255855
6,370.00000047683716,47.2599540539347
7,425.00000047683716,37.77771395381866
8,480.00000047683716,36.39826270739306
9,535.0000004768372,33.943448935869114
10,590.0000004768372,33.59554032106994
11,645.0000004768372,33.10653932054033
12,705.0000004768372,31.82093015410308
13,810.0000004768372,30.43477156658189
14,915.0000004768372,29.831632520258403
15,970.0000004768372,29.50387127435291
16,1030.0000004768372,28.713352841103106
17,1085.0000004768372,28.366317732507458
18,1140.0000004768372,27.574723504120133
19,1195.0000004768372,27.409213897531842
20,1260.0000004768372,26.483064951567364
21,1320.0000004768372,26.582425738028153
22,1380.0000004768372,26.250497376214373
23,1490.0000004768372,26.075367545614508
24,1545.0000004768372,26.164289252169993
25,1600.0000004768372,25.778204851936078
26,1655.0000004768372,25.74740720492637
27,1710.0000004768372,25.99033561908066
28,1765.0000004768372,25.65661726283093
29,1820.0000004768372,25.57594471836381
30,1875.0000004768372,25.250400577091316
31,1930.0000004768372,25.437607887018054
32,1985.0000004768372,25.644208842490176
33,2040.0000004768372,25.80949468966365
34,2095.000000476837,26.06981648765998
35,2150.000000476837,25.660299969678235
36,2205.000000476837,25.266437365903375
37,2260.000000476837,25.602874488729892
38,2315.000000476837,24.759746693720057
39,2390.000000476837,25.337276177297493
40,2445.000000476837,25.71329273558318
41,2500.000000476837,25.66523146465437
42,2555.000000476837,25.861882990152274
43,2610.000000476837,26.27157856396256
44,2665.000000476837,26.145008301062276
45,2720.000000476837,26.662833647558433
46,2775.000000476837,26.79861227213487
47,2830.000000476837,27.042069927769944
48,2925.000000476837,26.981320584386246
49,3005.000000476837,27.73458623576698
50,3070.000000476837,27.468097384432347
51,3125.000000476837,28.0511646433049
52,3180.000000476837,28.4122489847123
53,3235.000000476837,27.24516540655925
54,3290.000000476837,28.460378386554314
55,3350.000000476837,27.98896249849914
56,3405.000000476837,28.017591334405928
57,3460.000000476837,28.362855258574314
58,3515.000000476837,28.482786082349552
59,3570.000000476837,28.944806070797284
60,3625.000000476837,28.79088328674131
