round,accuracy,elapsed_time,round_time,round_time
1,0.07034585312035305,115.00000023841858,115,115
2,0.06719192209910299,350.0000002384186,350,350
3,0.08073104043747302,405.0000002384186,350,350
4,0.09596104955149422,470.0000002384186,350,350
5,0.11151484626085288,625.0000002384186,165,165
6,0.10481124382405142,790.0000002384186,350,350
7,0.14337794406869095,975.0000002384186,350,350
8,0.17257878831486545,1045.0000002384186,350,350
9,0.18864824675013192,1155.0000002384186,350,350
10,0.20283494027917687,1325.0000002384186,350,350
11,0.1983978510097376,1395.0000002384186,350,350
12,0.1980620712812395,1505.0000002384186,350,350
13,0.2617642826305943,1675.0000002384186,350,350
14,0.2642226699285269,1745.0000002384186,350,350
15,0.2666210965606562,1825.0000002384186,350,350
16,0.2588981628051998,1900.0000002384186,350,350
17,0.29024559888713003,2095.0000002384186,350,350
18,0.27436801458243393,2250.0000002384186,350,350
19,0.3280567947426488,2320.0000002384186,350,350
20,0.3530843766489183,2435.0000002384186,340,340
21,0.36167074399194127,2515.0000002384186,350,350
22,0.37778817095985034,2670.0000002384186,350,350
23,0.37845973041684655,2785.0000002384186,350,350
24,0.3855470811147887,2865.0000002384186,350,350
25,0.4020242720775172,3020.0000002384186,350,350
26,0.4171703362594138,3135.0000002384186,350,350
27,0.4134167985801314,3215.0000002384186,350,350
28,0.3809660862474217,3370.0000002384186,350,350
29,0.4389000815465055,3425.0000002384186,350,350
30,0.4629323164004413,3485.0000002384186,350,350
31,0.4590108888569099,3740.0000002384186,350,350
32,0.4254928766729026,3835.0000002384186,350,350
33,0.4628004029356742,3895.0000002384186,350,350
34,0.4818678946611023,4090.0000002384186,350,350
35,0.4811123902719816,4185.000000238419,350,350
36,0.48305511584400634,4260.000000238419,350,350
37,0.47680721446730945,4440.000000238419,350,350
38,0.4998800786683935,4600.000000238419,350,350
39,0.49623447018755695,4710.000000238419,350,350
40,0.5025423322300571,4790.000000238419,350,350
41,0.5108288962440639,4950.000000238419,350,350
42,0.49830910922434885,5105.000000238419,350,350
